Country,Human Development Index
United Arab Emirates,0.933
Australia,0.941
Bangladesh,0.646
Brazil,0.764
Canada,0.932
China,0.775
Germany,0.951
Egypt,0.724
Spain,0.904
France,0.905
United Kingdom,0.933
Indonesia,0.718
India,0.638
Iran,0.785
Italy,0.899
Japan,0.918
South Korea,0.922
Mexico,0.781
Malaysia,0.805
Nigeria,0.537
Netherlands,0.941
Pakistan,0.537
Philippines,0.714
Poland,0.88
Russia,0.839
Saudi Arabia,0.862
Thailand,0.801
Turkey,0.842
United States,0.933
Vietnam,0.717
