Country,CPI
United Arab Emirates,-1.931081148
Australia,1.610767873
Bangladesh,5.591996399
Brazil,3.732976212
Canada,1.949269024
China,2.899234164
Germany,1.445659769
"Egypt, Arab Rep.",9.152799593
Spain,0.699518994
France,1.108254923
United Kingdom,1.738104601
Indonesia,3.03058665
India,3.729505735
"Iran, Islamic Rep.",39.90734557
Italy,0.611246944
Japan,0.468776159
"Korea, Rep.",0.383000304
Mexico,3.635961421
Malaysia,0.662891866
Nigeria,11.39642234
Netherlands,2.633699102
Pakistan,10.5783618
Philippines,2.392065344
Poland,2.227478809
Russian Federation,4.470366608
Saudi Arabia,-2.093333333
Thailand,0.706728601
Turkiye,15.17682157
United States,1.812210075
Viet Nam,2.795823675
