Country,Happiness Score
Netherlands,7.488
Canada,7.278
Australia,7.228
United Kingdom,7.054
Germany,6.985
United States,6.892
United Arab Emirates,6.825
Mexico,6.595
France,6.592
Saudi Arabia,6.375
Spain,6.354
Brazil,6.3
Italy,6.223
Poland,6.182
Thailand,6.008
South Korea,5.895
Japan,5.886
Pakistan,5.653
Russia,5.648
Philippines,5.631
Turkey,5.373
Malaysia,5.339
Nigeria,5.265
Indonesia,5.192
China,5.191
Vietnam,5.175
Iran,4.548
Bangladesh,4.456
Egypt,4.166
India,4.015
