Country,Unemployed Rate
United Arab Emirates,2.331
Australia,5.159
Bangladesh,4.693
Brazil,11.936
Canada,5.69
China,4.56
Germany,3.136
"Egypt, Arab Rep.",7.851
Spain,14.104
France,8.415
United Kingdom,3.737
Indonesia,3.59
India,6.51
"Iran, Islamic Rep.",10.74
Italy,9.952
Japan,2.351
"Korea, Rep.",3.746
Mexico,3.477
Malaysia,3.26
Nigeria,5.206
Netherlands,3.38
Pakistan,4.83
Philippines,2.237
Poland,3.277
Russian Federation,4.496
Saudi Arabia,5.636
Thailand,0.716
Turkiye,13.73
United States,3.669
Viet Nam,1.681
