Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Australia,1097491.39,1070816.8,1873784.77,25234.84,824892.33,25243.4,575909.04,5495391.57
Bangladesh,807382.49,282452.64,3459258.93,134107.23,965235.1,49092.55,1064109.38,6763657.32
Brazil,3098611.95,1522167.98,12888700.06,440078.81,3810192.56,150193.44,3151941.09,25063904.89
Canada,1686506.97,809870.48,5582268.1,68779.08,1897965.72,20176.99,488018.9,10555605.24
China,22635845.64,12137897.71,148447211.5,1926778.28,29404853.33,1212819.81,12277069.7,228044494.96999997
Egypt,714995.49,624237.8,1975097.41,89900.82,803791.08,61832.88,506462.77,4778337.25
France,799498.03,126041.05,2401440.96,61925.95,699428.35,20374.33,714846.29,4825573.960000001
Germany,905632.12,265315.98,2531256.68,80449.13,1036182.18,28354.85,693823.8,5543033.739999999
India,9476939.53,9672037.31,53392563.74,2597599.93,11053657.74,885926.98,10247139.62,97327883.85000001
Indonesia,5038852.43,2595484.38,23309812.17,755683.79,7602169.19,269256.86,2003211.6,41576489.42
Iran,2274539.75,2117704.82,9951627.68,35781.01,3265403.39,90456.97,572447.05,18309979.669999998
Italy,587047.62,109312.83,2112627.81,52187.67,868127.1,14465.13,431807.01,4177594.17
Japan,1674207.29,634185.78,3535352.7,62105.01,1024589.89,43737.06,433530.22,7409726.949999999
Malaysia,896638.04,377090.03,3839309.87,41831.4,1555014.58,33978.93,284254.01,7030135.86
Mexico,1779399.44,2325587.27,7254316.59,145951.3,2170629.91,61754.9,889202.68,14628861.090000002
Netherlands,197663.66,24180.51,526103.29,9284.43,220194.76,3359.06,160362.45,1143167.1600000001
Nigeria,682339.66,105259.55,24946347.52,665079.08,5496787.16,201050.26,1357920.88,33456803.11
Pakistan,1473037.9,1756767.62,13707423.75,510743.96,2863707.46,163271.7,2008592.01,22485563.400000002
Philippines,669617.54,545617.99,3266633.22,87735.67,1248417.22,42677.71,514186.96,6376905.31
Poland,672063.23,437663.79,2312612.53,80044.75,666033.15,27541.7,335662.74,4533640.89
Russia,3650510.3,4936763.22,7415944.68,278986.61,3990978.97,156322.77,1177554.03,21609079.58
Saudi Arabia,2113143.04,3687984.5,1483704.82,24647.65,1712130.22,69879.49,125937.71,9219446.430000002
South Korea,1008372.29,278491.76,890880.28,59873.38,978284.36,26332.64,311140.14,3555393.85
Spain,641691.58,188274.45,1240913.41,24732.6,526105.71,11285.89,510394.02,3145416.66
Thailand,1206344.47,448504.98,9762535.91,240695.88,3169442.24,100016.64,737725.43,15667284.55
Turkey,867050.28,2638195.05,1572748.11,60191.32,621408.43,42264.46,736225.55,6540102.2
United Arab Emirates,539097.11,525422.88,917063.12,6776.29,975937.86,18490.99,22762.02,3007569.27
United Kingdom,738638.52,139173.31,1434706.76,30705.48,788996.98,13465.19,361509.83,3509215.07
United States,7679316.62,1921172.15,28843362.52,279399.57,10646076.14,128396.08,3628009.15,53127751.23
Vietnam,1177238.84,852061.42,11708923.29,226891.68,2296905.23,90055.98,667801.76,17021897.2
