Country,Happiness Score
Netherlands,7.448900223
Canada,7.23210001
Australia,7.222799778
United Kingdom,7.164500237
Germany,7.075799942
United States,6.939599991
United Arab Emirates,6.790800095
France,6.663799763
Mexico,6.465000153
Saudi Arabia,6.406499863
Spain,6.400899887
Italy,6.38740015
Brazil,6.375599861
Poland,6.186299801
Philippines,6.006000042
Thailand,5.998799801
South Korea,5.872399807
Japan,5.870800018
Pakistan,5.69329977
Russia,5.546000004
Malaysia,5.384300232
Vietnam,5.353499889
Indonesia,5.285600185
Turkey,5.131800175
China,5.123899937
Bangladesh,4.832799911
Nigeria,4.724100113
Iran,4.672399998
Egypt,4.151400089
India,3.573299885
