Country,Unemployed Rate
United Arab Emirates,4.294
Australia,6.456
Bangladesh,5.828
Brazil,13.697
Canada,9.657
China,5.0
Germany,3.856
"Egypt, Arab Rep.",7.974
Spain,15.532
France,8.01
United Kingdom,4.472
Indonesia,4.255
India,7.859
"Iran, Islamic Rep.",9.687
Italy,9.164
Japan,2.809
"Korea, Rep.",3.931
Mexico,4.441
Malaysia,4.54
Nigeria,5.712
Netherlands,3.819
Pakistan,6.162
Philippines,2.522
Poland,3.162
Russian Federation,5.589
Saudi Arabia,7.45
Thailand,1.099
Turkiye,13.148
United States,8.055
Viet Nam,2.103
