Country,CPI
United Arab Emirates,-2.079403179
Australia,0.846905537
Bangladesh,5.691074747
Brazil,3.211768038
Canada,0.716999632
China,2.419421895
Germany,0.144877926
"Egypt, Arab Rep.",5.04493289
Spain,-0.322753017
France,0.476498853
United Kingdom,0.989486704
Indonesia,1.920968006
India,6.623436776
"Iran, Islamic Rep.",30.59413904
Italy,-0.137707574
Japan,-0.024995834
"Korea, Rep.",0.537288023
Mexico,3.396834156
Malaysia,-1.138702154
Nigeria,13.24602343
Netherlands,1.272460378
Pakistan,9.739993139
Philippines,2.393162393
Poland,3.374469726
Russian Federation,3.381659372
Saudi Arabia,3.44545826
Thailand,-0.845937147
Turkiye,12.27895745
United States,1.233584396
Viet Nam,3.220934367
