Country,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,25670052.0,1.203,468.061,1413.168,423.173,37.874,171.958,0.0,521.934,10.887,171.958,62.623,59.372,5362.210999999998,0.00020888975994283137
Bangladesh,167420944.0,0.0,52.347,454.221,299.153,1.84,3.071,0.0,102.721,0.012,3.071,1.205,0.013,2937.6540000000005,1.7546514371583048e-05
Brazil,213196304.0,246.243,163.133,1706.122,314.237,1041.012,1688.246,35.415,1228.752,187.516,1652.831,28.228,149.832,10461.567,4.907011427365082e-05
Canada,37888704.0,22.951,146.178,2400.681,1152.905,1015.178,1421.002,245.749,1101.598,31.955,1175.253,11.242,93.928,10838.619999999999,0.0002860646803860063
China,1424929792.0,27.493,23402.553,34728.391,3366.173,3471.19,6765.32,922.889,7959.667,432.86,5842.432,685.724,1225.164,90849.856,6.375742616236913e-05
Egypt,107465128.0,0.0,8.733,924.493,583.079,39.141,64.576,0.0,332.68,0.0,64.576,11.694,13.742,4062.7140000000004,3.780495194683061e-05
France,64480052.0,30.8,55.982,1190.199,405.828,162.052,1250.967,891.721,728.389,28.128,359.246,33.396,104.869,7261.577,0.00011261741848471214
Germany,83328992.0,39.271,514.867,2554.146,871.075,48.119,889.736,162.255,1168.205,163.162,727.481,129.991,346.938,9635.246,0.00011562897580712363
India,1396387072.0,12.182,4714.672,7856.125,603.601,429.933,972.249,112.433,2537.853,104.881,859.816,154.12,158.7,20536.565,1.4706928624443752e-05
Indonesia,271857984.0,76.806,765.38,1942.665,425.805,63.884,221.088,0.0,751.479,78.701,221.088,0.449,1.247,6568.592000000001,2.4161850622713367e-05
Iran,87290192.0,0.0,21.418,3306.496,2367.673,60.943,81.458,15.953,917.405,0.071,65.505,1.533,2.957,8861.411999999998,0.0001015166973169219
Italy,59500576.0,13.227,59.253,1320.996,676.252,125.1,330.966,0.0,585.492,77.862,330.966,65.504,49.273,5654.891000000001,9.503926482997411e-05
Japan,125244760.0,5.148,1270.752,4189.554,1041.275,205.723,635.695,108.366,1877.527,94.994,527.329,199.39,22.074,12197.827,9.739191483939128e-05
Malaysia,33199988.0,9.193,288.092,1106.194,436.137,71.695,90.235,0.0,381.966,3.939,90.235,5.408,0.0,4503.094000000001,0.00013563541047063033
Mexico,125998296.0,2.951,66.491,1827.884,922.448,70.429,214.033,28.17,838.945,19.149,185.863,41.589,51.745,6289.697000000001,4.9918905252496437e-05
Netherlands,17434562.0,9.257,47.778,879.629,360.944,0.121,110.517,10.301,470.906,28.215,100.216,22.499,40.124,4100.507,0.00023519415056139637
Nigeria,208327408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,9.696275777597156e-06
Pakistan,227196736.0,0.0,181.748,837.067,411.598,105.018,140.15,24.067,243.721,2.025,116.083,1.864,7.175,4090.5160000000005,1.800429034332606e-05
Philippines,112190984.0,5.175,204.062,452.132,38.428,19.012,61.621,0.0,209.641,31.134,61.621,3.605,2.696,3109.1270000000004,2.771280622692462e-05
Poland,38428368.0,11.849,478.409,1048.529,210.646,5.563,90.705,0.0,359.475,26.656,90.705,5.142,41.495,4389.174,0.00011421702842025453
Russia,145617328.0,1.884,914.234,6964.822,4234.834,557.924,1114.148,544.142,1815.754,2.318,570.006,4.891,2.989,18747.946,0.00012874804295269035
Saudi Arabia,35997108.0,0.0,1.028,2885.852,1130.5,0.0,0.0,0.0,1754.324,0.0,0.0,0.544,0.015,7792.263,0.0002164691396875549
South Korea,51844688.0,8.025,840.159,2821.208,575.373,10.183,525.757,403.691,1405.675,44.799,122.066,50.787,8.273,8835.996,0.00017043204117652322
Spain,47363808.0,22.691,34.386,951.118,324.902,80.119,471.842,146.925,591.83,19.591,324.917,54.278,148.237,5190.836000000002,0.00010959498864618322
Thailand,71475664.0,25.976,212.183,1276.961,468.529,11.923,98.797,0.0,596.249,39.229,98.797,13.213,8.457,4870.313999999999,6.813947191872187e-05
Turkey,84135432.0,1.162,472.367,1482.043,462.099,205.098,339.733,0.0,547.577,39.509,339.733,28.758,65.206,6003.285000000001,7.135263773293516e-05
United Arab Emirates,9287286.0,0.0,24.736,1186.957,678.658,0.0,0.0,4.1,483.562,0.003,0.0,13.616,0.0,4411.632,0.0004750184284192389
United Kingdom,67059472.0,18.022,62.786,1451.432,731.454,18.039,519.755,126.71,657.192,126.175,393.045,32.839,197.969,6355.418,9.477286072279244e-05
United States,335942016.0,378.321,2556.181,19936.998,8345.496,742.663,4685.649,2095.404,9035.32,225.994,2590.245,346.779,896.488,53855.538,0.0001603120045573579
Vietnam,96648680.0,0.0,609.741,981.098,88.394,191.37,223.296,0.0,282.963,1.085,223.296,28.261,2.579,4652.0830000000005,4.8133952786525385e-05
