Country,GDP,GDP per Capita
Australia,1230000000000.0,47915.75802027982
Bangladesh,754000000000.0,4503.6181375252545
Brazil,2950000000000.0,13837.01285928484
Canada,1620000000000.0,42756.80688365588
China,24200000000000.0,16983.29288633471
Egypt,1310000000000.0,12190.000834503264
France,2440000000000.0,37841.16054993256
Germany,3740000000000.0,44882.338190290364
India,8950000000000.0,6409.397637276321
Indonesia,3200000000000.0,11770.851651721216
Iran,1450000000000.0,16611.259143524396
Italy,1930000000000.0,32436.660781233444
Japan,4630000000000.0,36967.61445349091
Malaysia,783000000000.0,23584.345873859955
Mexico,1880000000000.0,14920.836707188484
Netherlands,803000000000.0,46057.93939647007
Nigeria,1060000000000.0,5088.1447149767255
Pakistan,1200000000000.0,5281.766019737185
Philippines,892000000000.0,7950.7280192854
Poland,1100000000000.0,28624.686845925906
Russia,3610000000000.0,24791.00564185603
Saudi Arabia,1610000000000.0,44725.81519604297
South Korea,2000000000000.0,38576.758336360326
Spain,1460000000000.0,30825.22418805515
Thailand,1080000000000.0,15110.03801237859
Turkey,2030000000000.0,24127.765814526276
United Arab Emirates,699000000000.0,75264.18374539127
United Kingdom,2330000000000.0,34745.27804215339
United States,18000000000000.0,53580.675065068375
Vietnam,753000000000.0,7791.104855234443
