Country,Happiness Score
Netherlands,7.464
Australia,7.183
Germany,7.155
Canada,7.103
United Kingdom,7.064
United States,6.951
France,6.69
United Arab Emirates,6.561
Saudi Arabia,6.494
Spain,6.491
Italy,6.483
Brazil,6.33
Mexico,6.317
Poland,6.166
Thailand,5.985
Japan,5.94
Philippines,5.88
South Korea,5.845
Russia,5.477
Vietnam,5.411
Malaysia,5.384
Indonesia,5.345
China,5.339
Bangladesh,5.025
Turkey,4.948
Pakistan,4.934
Nigeria,4.759
Iran,4.721
Egypt,4.283
India,3.819
