Country,CPI
United Arab Emirates,-0.013859944
Australia,2.863910422
Bangladesh,5.545654308
Brazil,8.301659756
Canada,3.395193185
China,0.981015136
Germany,3.066666667
Egypt,5.214049405
Spain,3.09313512
France,1.64233141
United Kingdom,2.518371096
Indonesia,1.560129905
India,5.131407472
Iran,43.38901627
Italy,1.873783258
Japan,-0.233352779
South Korea,2.498333333
Mexico,5.689208477
Malaysia,2.477102415
Nigeria,16.95284572
Netherlands,2.675720088
Pakistan,9.496210561
Philippines,3.927180221
Poland,5.055027047
Russia,6.69445892
Saudi Arabia,3.063289889
Thailand,1.230395413
Turkey,19.59649269
United States,4.697858864
Vietnam,1.834715548
