Country,pm10_concentration,pm25_concentration,no2_concentration,Total Air Pollutants Concentration
France,3960.889,1428.167,3011.743,8400.798999999999
Germany,3724.302,1867.913,5072.29,10664.505
Indonesia,115.762,112.004,108.08,335.846
Italy,8832.464,3295.772,7067.691,19195.927
Pakistan,35.49,0.0,14.99,50.480000000000004
Saudi Arabia,1446.757,45.6,0.0,1492.357
Spain,5428.894,1773.07,3102.722,10304.686
Thailand,1771.6,950.767,660.884,3383.2509999999997
United Arab Emirates,609.233,198.66,164.79500000000002,972.688
United States,3009.407,2248.222,1326.1009999999999,6583.73
