Country,Unemployed Rate
United Arab Emirates,3.105
Australia,5.116
Bangladesh,5.815
Brazil,13.159
Canada,7.527
China,4.55
Germany,3.638
"Egypt, Arab Rep.",7.441
Spain,14.781
France,7.874
United Kingdom,4.826
Indonesia,3.827
India,6.38
"Iran, Islamic Rep.",9.282
Italy,9.497
Japan,2.828
"Korea, Rep.",3.639
Mexico,4.019
Malaysia,4.64
Nigeria,5.393
Netherlands,4.21
Pakistan,6.338
Philippines,3.398
Poland,3.363
Russian Federation,4.715
Saudi Arabia,6.621
Thailand,1.215
Turkiye,11.969
United States,5.349
Viet Nam,2.385
