country,year,total_consumption,energy_consumption_per_capita,happiness_score,average_pm25_concentration,aqi_pm25_concentration,aqi_pm25_category,gdp,gdp_per_capita,unemployed_rate,cpi,hdi
Canada,2016,11165.728999999998,0.0003091840753765,7.404,5.4120526315789474,30.066959064327484,GOOD,1580000000000.0,43750.91309263242,7.038,1.428759547,0.928
China,2016,76707.739,5.471738680284613e-05,5.245,45.73915867158672,126.21199873908289,UNHEALTHY FOR SENSITIVE,19500000000000.0,13909.79654159145,4.56,2.000001822,0.749
Germany,2016,10262.278,0.0001246459310947,6.994,5.484911854103344,30.471732522796355,GOOD,3710000000000.0,45061.769361669794,4.122,0.491747008,0.941
Spain,2016,5481.650999999999,0.0001179526446571,6.361,4.92167701863354,27.342650103519667,GOOD,1530000000000.0,32922.11531261377,19.635,-0.202598,0.894
France,2016,7843.787,0.0001225796273503,6.478,4.463637223974764,24.79798457763758,GOOD,2490000000000.0,38912.74356408226,10.057,0.183334861,0.896
United Kingdom,2016,6751.743,0.0001028363722698,6.725,5.927329787234043,32.92960992907801,GOOD,2480000000000.0,37773.091071349045,4.81,1.008417368,0.926
Indonesia,2016,5916.443999999999,2.259476808600655e-05,5.314,42.653,118.61291457286433,UNHEALTHY FOR SENSITIVE,2820000000000.0,10769.51729831948,4.301,3.525805157,0.701
India,2016,19163.697000000004,1.4315835579679134e-05,4.404,74.98448648648649,164.65865290182887,UNHEALTHY,8060000000000.0,6021.052971783774,7.8,4.948216341,0.63
Iran,2016,7827.381,9.39591290121008e-05,4.813,31.817629629629632,93.32562174341643,MODERATE,1410000000000.0,16925.504444853537,12.618,7.24542549,0.785
Italy,2016,5973.812,9.93670713842638e-05,5.977,8.079355,44.885305555555554,GOOD,2050000000000.0,34099.24790698817,11.688,-0.094016657,0.886
South Korea,2016,8888.697999999999,0.0001732352518371,5.835,23.145850000000003,77.1690741444867,MODERATE,1860000000000.0,36250.25492114751,3.65,0.97168574,0.912
Mexico,2016,6656.432,5.4776781655551055e-05,6.778,11.97976923076923,56.36534951740275,MODERATE,1960000000000.0,16129.135255175755,3.853,2.821707847,0.773
Netherlands,2016,4149.101999999998,0.0002422902328545,7.339,6.4326585365853655,35.7369918699187,GOOD,778000000000.0,45431.95157911653,6.006,0.316666667,0.933
Philippines,2016,3048.387,2.906678516171095e-05,5.279,26.83333333333333,84.03929024081114,MODERATE,817000000000.0,7790.206255674836,2.695,1.253698801,0.696
Poland,2016,4386.901,0.0001138505321328,5.835,9.946513513513514,52.57715445483507,MODERATE,964000000000.0,25018.096596220483,6.161,-0.664767331,0.872
Russia,2016,18685.551000000003,0.0001287689352632,5.856,14.0,60.129277566539926,MODERATE,3460000000000.0,23844.119769923265,5.559,7.04244763,0.826
Turkey,2016,5597.580999999999,6.908939093599804e-05,5.389,4.305154362416107,23.917524235645036,GOOD,1780000000000.0,21970.046680177835,10.899,7.775134153,0.826
United States,2016,55601.287,0.0001699252824043,7.104,6.506024691358025,36.14458161865569,GOOD,17200000000000.0,52565.59721999871,4.869,1.261583206,0.926
Vietnam,2016,3985.668,4.279841722435953e-05,5.061,44.63966666666666,123.50470686767169,UNHEALTHY FOR SENSITIVE,593000000000.0,6367.680753651634,1.848,2.66824817,0.702
United Arab Emirates,2017,4445.907,0.0004902692313672,6.647999763,6.5572,36.428888888888885,GOOD,718000000000.0,79176.93917612094,2.462,1.966825578,0.898
Australia,2017,5328.311000000001,0.0002166831311292,7.28399992,4.368,24.26666666666667,GOOD,1200000000000.0,48799.65853252269,5.592,1.948647409,0.937
Bangladesh,2017,2826.219,1.746801215728883e-05,4.607999802,54.59011111111111,148.00580122836405,UNHEALTHY FOR SENSITIVE,631000000000.0,3900.021785731839,4.372,5.702070157,0.622
Canada,2017,11296.081,0.0003090215762044,7.315999985,6.316948571428571,35.094158730158725,GOOD,1630000000000.0,44591.14353139534,6.426,1.596884129,0.929
China,2017,79820.42300000002,5.6599151379710685e-05,5.272999763,44.61048930481284,123.43286311235322,UNHEALTHY FOR SENSITIVE,20900000000000.0,14819.7944758568,4.47,1.593136001,0.757
Germany,2017,10425.665,0.0001261814795364,6.951000214,5.604049079754602,31.133605998636675,GOOD,3810000000000.0,46112.30430228525,3.746,1.509494851,0.944
Spain,2017,5477.537000000001,0.0001175836606119,6.402999878,5.535363354037267,30.752018633540374,GOOD,1580000000000.0,33917.10247996701,17.224,1.956076334,0.896
France,2017,7806.213000000002,0.0001216980824983,6.441999912,4.2291592356687895,23.49532908704883,GOOD,2550000000000.0,39754.24580022117,9.41,1.032282751,0.899
United Kingdom,2017,6806.06,0.0001030209608722,6.714000225,5.455099009900991,30.30610561056106,GOOD,2540000000000.0,38447.095766932376,4.33,2.557755776,0.929
Indonesia,2017,6060.07,2.29115175579139e-05,5.262000084,9.3175,51.40522813688213,MODERATE,2960000000000.0,11190.975017025405,3.783,3.80879807,0.708
India,2017,19862.327,1.4667249958032654e-05,4.315000057,90.244225,175.35575143061516,UNHEALTHY,8550000000000.0,6313.710731938871,7.723,3.328173375,0.636
Italy,2017,6004.975000000001,0.0001000762048891,5.964000225,8.59578588807786,47.754366044876996,GOOD,2090000000000.0,34830.997334445434,11.211,1.226533166,0.889
South Korea,2017,8978.119,0.0001742930141614,5.837999821,24.217166666666667,79.16506337135615,MODERATE,1920000000000.0,37273.12894716612,3.653,1.944332308,0.915
Mexico,2017,6741.265,5.487875146362007e-05,6.578000069,12.692769230769231,57.693752559227846,MODERATE,2010000000000.0,16362.847394647197,3.419,6.04145724,0.776
Netherlands,2017,4174.113,0.0002425793870985,7.376999855,6.80185,37.78805555555555,GOOD,800000000000.0,46492.15526241218,4.839,1.381458714,0.936
Poland,2017,4508.236,0.0001169973147044,5.97300005,9.416195767195768,51.58910998450923,MODERATE,1010000000000.0,26211.424568606664,4.888,2.075935537,0.874
Turkey,2017,5825.651000000001,7.096678633395536e-05,5.5,5.237879194630872,29.0993288590604,GOOD,1920000000000.0,23389.01347869865,10.919,11.14431108,0.833
United States,2017,56009.58799999999,0.0001698334660395,6.993000031,6.878246913580248,38.2124828532236,GOOD,17600000000000.0,53367.09497479909,4.355,2.130110004,0.928
Vietnam,2017,4174.590999999999,4.4394934427734376e-05,5.073999882,40.957,114.43683417085427,UNHEALTHY FOR SENSITIVE,634000000000.0,6742.310426861841,1.874,3.520256888,0.706
United Arab Emirates,2018,4315.856000000001,0.0004721854249569,6.774,20.6118,72.4478403041825,MODERATE,727000000000.0,79538.98460554134,2.236,3.068633793,0.917
Australia,2018,5402.5380000000005,0.0002162812237431,7.272,4.836,26.866666666666667,GOOD,1230000000000.0,49240.91329003443,5.3,1.911400944,0.941
Bangladesh,2018,2881.55,1.760435256353048e-05,4.5,71.9345,162.52060801144492,UNHEALTHY,679000000000.0,4148.23806306925,4.532,5.543621395,0.636
Brazil,2018,10549.001,5.019351981498563e-05,6.419,3.512897435897436,19.516096866096866,GOOD,3010000000000.0,14321.971781319078,12.33,3.664850284,0.762
Canada,2018,11375.992,0.0003071665218497,7.328,7.003666666666667,38.90925925925926,GOOD,1680000000000.0,45362.176477227375,5.837,2.268225672,0.93
China,2018,83777.82699999999,5.912048106830953e-05,5.246,40.1530559772296,112.45727351177138,UNHEALTHY FOR SENSITIVE,22300000000000.0,15736.702359483526,4.31,2.0747904,0.766
Germany,2018,10243.647999999996,0.000123571245831,6.965,5.899413897280967,32.774521651560924,GOOD,3850000000000.0,46443.346789116906,3.384,1.732168798,0.946
Spain,2018,5579.793999999999,0.00011924663945,6.31,5.207382716049382,28.929903978052124,GOOD,1620000000000.0,34621.27023132394,15.255,1.674981369,0.899
France,2018,7928.241,0.0001233433552467,6.489,4.1337777777777776,22.96543209876543,GOOD,2600000000000.0,40449.41666651628,9.018,1.850815083,0.903
United Kingdom,2018,6837.081999999999,0.0001029169601202,7.19,5.463740384615385,30.35411324786325,GOOD,2580000000000.0,38836.122941075846,3.996,2.292839903,0.928
Indonesia,2018,6488.797999999999,2.4296531181586413e-05,5.093,18.66525,68.82118821292775,MODERATE,3120000000000.0,11682.468353391432,4.387,3.198346416,0.712
India,2018,20917.09999999999,1.5279072409866796e-05,4.19,28.6015,87.33359315589354,MODERATE,9170000000000.0,6698.303971319093,7.652,3.938826467,0.636
Italy,2018,6053.885,0.0001011046198507,6.0,7.751729166666666,43.065162037037034,GOOD,2110000000000.0,35238.652185350904,10.61,1.137487636,0.894
