Country,pm10_concentration,pm25_concentration,no2_concentration,Total Air Pollutants Concentration,Average pm10_concentration,Average pm25_concentration,Average no2_concentration,Average Air Pollutants Concentration,Year
Vietnam,0.0,133.91899999999998,0.0,133.91899999999998,0.0,44.63966666666666,0.0,44.63966666666666,2016
Australia,84.221,21.84,23.705,129.766,16.8442,4.368,4.741,25.9532,2017
Bangladesh,1232.574,491.311,229.70299999999997,1953.5880000000002,136.9526666666667,54.590111111111106,25.522555555555552,217.06533333333334,2017
Canada,301.83299999999997,1105.466,1502.6680000000001,2909.967,1.7247599999999998,6.316948571428571,8.586674285714286,16.628382857142856,2017
China,0.0,16684.323,0.0,16684.323,0.0,44.61048930481284,0.0,44.61048930481284,2017
France,4713.638,1327.956,4455.915,10497.509,15.011585987261146,4.2291592356687895,14.190812101910828,33.43155732484077,2017
Germany,4456.266,1826.92,7300.974,13584.16,13.669527607361962,5.604049079754602,22.395625766871166,41.66920245398773,2017
India,4321.82,3609.769,123.0,8054.589,108.04549999999999,90.244225,3.075,201.364725,2017
Indonesia,46.303,18.634999999999998,31.380000000000003,96.318,23.1515,9.317499999999999,15.690000000000001,48.159,2017
Italy,8974.733,3532.868,8355.339,20862.94,21.836333333333332,8.59578588807786,20.32929197080292,50.76141119221411,2017
Mexico,1104.84,330.012,0.0,1434.852,42.49384615384615,12.692769230769231,0.0,55.186615384615386,2017
Netherlands,671.21,272.074,739.484,1682.768,16.780250000000002,6.80185,18.4871,42.0692,2017
Poland,5540.393,1779.661,1808.148,9128.202,29.314248677248678,9.416195767195768,9.566920634920635,48.29736507936508,2017
Russia,19.727,0.0,0.0,19.727,19.727,0.0,0.0,19.727,2017
Saudi Arabia,352.333,0.0,0.0,352.333,352.333,0.0,0.0,352.333,2017
South Korea,806.237,435.909,0.385,1242.531,44.79094444444444,24.217166666666667,0.021388888888888888,69.0295,2017
Spain,5895.813,1782.387,4192.067,11870.267,18.309978260869567,5.535363354037267,13.018841614906833,36.86418322981366,2017
Thailand,930.9549999999999,0.0,0.0,930.9549999999999,40.47630434782609,0.0,0.0,40.47630434782609,2017
Turkey,7833.035,780.444,3132.155,11745.634,52.57070469798658,5.237879194630872,21.021174496644296,78.82975838926174,2017
United Arab Emirates,466.097,32.786,220.208,719.091,93.2194,6.5572,44.0416,143.8182,2017
United Kingdom,810.944,550.965,2154.028,3515.937,8.029148514851485,5.455099009900991,21.327009900990095,34.811257425742575,2017
United States,3025.257,2228.552,1575.751,6829.56,9.337212962962964,6.878246913580248,4.863429012345679,21.07888888888889,2017
Vietnam,0.0,81.914,0.0,81.914,0.0,40.957,0.0,40.957,2017
Australia,94.964,24.18,20.809,139.953,18.9928,4.836,4.1618,27.9906,2018
Bangladesh,1173.549,575.476,224.743,1973.768,146.693625,71.9345,28.092875,246.721,2018
Brazil,935.421,137.003,541.934,1614.358,23.985153846153846,3.5128974358974356,13.895743589743589,41.39379487179487,2018
Canada,320.5,1260.66,1646.306,3227.466,1.7805555555555554,7.003666666666667,9.146144444444445,17.930366666666664,2018
China,274.515,42321.320999999996,0.0,42595.836,0.2604506641366224,40.1530559772296,0.0,40.413506641366226,2018
France,4481.859,1264.936,3922.054,9668.849,14.646598039215688,4.1337777777777776,12.817169934640523,31.597545751633987,2018
Germany,4747.683,1952.706,7324.896,14025.285,14.343453172205438,5.899413897280967,22.129595166163142,42.37246223564954,2018
India,1376.737,457.624,103.0,1937.361,86.0460625,28.6015,6.4375,121.0850625,2018
Indonesia,99.584,74.661,110.51,284.755,24.896,18.66525,27.6275,71.18875,2018
Italy,8938.466,3348.747,7722.514,20009.727,20.690893518518518,7.751729166666666,17.876189814814815,46.3188125,2018
Japan,0.0,172.066,294.69599999999997,466.762,0.0,11.471066666666667,19.646399999999996,31.117466666666665,2018
Mexico,2014.954,747.429,1468.5720000000001,4230.955,35.350070175438596,13.11278947368421,25.76442105263158,74.22728070175438,2018
Netherlands,696.623,301.118,691.905,1689.646,17.862128205128208,7.720974358974359,17.741153846153846,43.32425641025641,2018
Pakistan,0.0,37.83,29.2,67.03,0.0,37.83,29.2,67.03,2018
Poland,5749.102,1807.1779999999999,1882.376,9438.655999999999,30.258431578947366,9.511463157894736,9.907242105263158,49.677136842105256,2018
Saudi Arabia,2187.7,0.0,0.0,2187.7,218.76999999999998,0.0,0.0,218.76999999999998,2018
South Korea,793.938,443.896,0.386,1238.22,41.78621052631579,23.362947368421054,0.02031578947368421,65.16947368421053,2018
