aqi_pm25_concentration,gdp_per_capita,gdp,unemployed_rate,cpi,human_development_index,finance,environment,living_quality
0.201,0.004,0.979,-0.088,-0.07,-0.006,0.454,0.201,-0.006
-0.635,0.751,-0.116,-0.043,-0.436,0.797,0.086,-0.635,0.797
