aqi_pm25_concentration,gdp,unemployed_rate,cpi,human_development_index,environment,finance,living_quality
0.201,0.979,-0.088,-0.07,-0.006,0.201,0.457,-0.006
-0.635,-0.116,-0.043,-0.436,0.797,-0.635,-0.331,0.797
