Country,CPI,Year
Malaysia,3.378698625,2022
Nigeria,18.84718778,2022
Netherlands,10.00120788,2022
Pakistan,19.87385996,2022
Philippines,5.821158112,2022
Poland,14.42945076,2022
Russia,4.221622316,2022
Saudi Arabia,2.474073719,2022
Thailand,6.077412284,2022
Turkey,72.30883599,2022
United States,8.002799821,2022
Vietnam,3.1565075,2022
