country,human_development_index,year,cpi,unemployed_rate,gdp,gdp_per_capita,happiness_score,total_consumption
China,0.757,2017,1.593136001,4.47,20900000000000.0,14819.7944758568,5.272999763,77803.42300000001
Germany,0.944,2017,1.509494851,3.746,3810000000000.0,46112.30430228525,6.951000214,8408.665
Egypt,0.709,2017,29.50660839,11.767,1160000000000.0,11396.080361386214,4.735000134,2182.742
Spain,0.896,2017,1.956076334,17.224,1580000000000.0,33917.10247996701,6.402999878,3460.537
France,0.899,2017,1.032282751,9.41,2550000000000.0,39754.24580022117,6.441999912,5789.213000000001
United Kingdom,0.929,2017,2.557755776,4.33,2540000000000.0,38447.095766932376,6.714000225,4789.06
Indonesia,0.708,2017,3.80879807,3.783,2960000000000.0,11190.975017025405,5.262000084,4043.070000000001
India,0.636,2017,3.328173375,7.723,8550000000000.0,6313.710731938871,4.315000057,17845.327
Iran,0.788,2017,8.044924377,12.232,1490000000000.0,17632.076083473326,4.691999912,6037.673
Italy,0.889,2017,1.226533166,11.211,2090000000000.0,34830.997334445434,5.964000225,3987.975
Japan,0.916,2017,0.484199796,2.822,4820000000000.0,38053.894167099104,5.920000076,11159.830000000002
South Korea,0.915,2017,1.944332308,3.653,1920000000000.0,37273.12894716612,5.837999821,6961.119
Mexico,0.776,2017,6.04145724,3.419,2010000000000.0,16362.847394647197,6.578000069,4724.264999999999
Malaysia,0.8,2017,3.871201158,3.41,757000000000.0,23674.144694120667,6.084000111,2456.1250000000005
Nigeria,0.528,2017,16.50226621,4.826,1040000000000.0,5374.790775932911,5.073999882,0.0
Netherlands,0.936,2017,1.381458714,4.839,800000000000.0,46492.15526241218,7.376999855,2157.113
Pakistan,0.534,2017,4.08537368,3.193,1120000000000.0,5176.087540358694,5.269000053,1972.256
Philippines,0.7,2017,2.853187726,2.552,874000000000.0,8188.236041849419,5.429999828,1130.444
Poland,0.874,2017,2.075935537,4.888,1010000000000.0,26211.424568606664,5.97300005,2491.236
Russia,0.827,2017,3.683329444,5.212,3530000000000.0,24269.08394259505,5.962999821,16768.222999999998
Saudi Arabia,0.849,2017,-0.83819458,5.89,1630000000000.0,47670.4085500241,6.343999863,6363.453
Thailand,0.795,2017,0.665631893,0.83,1080000000000.0,15233.107161185231,6.423999786,2943.719
Turkey,0.833,2017,11.14431108,10.919,1920000000000.0,23389.01347869865,5.5,3808.651
United States,0.928,2017,2.130110004,4.355,17600000000000.0,53367.09497479909,6.993000031,53992.588
