country,year,total_consumption,happiness_score,aqi_pm25_concentration,aqi_pm25_category,gdp_per_capita,gdp,unemployed_rate,cpi,human_development_index
Bangladesh,2017,809.2189999999999,4.607999802,148.00580122836405,UNHEALTHY FOR SENSITIVE,3900.021785731839,631000000000.0,4.372,5.702070157,0.622
Canada,2017,9279.081000000002,7.315999985,35.094158730158725,GOOD,44591.14353139534,1630000000000.0,6.426,1.596884129,0.929
China,2017,77803.42300000001,5.272999763,123.43286311235322,UNHEALTHY FOR SENSITIVE,14819.7944758568,20900000000000.0,4.47,1.593136001,0.757
France,2017,5789.213000000001,6.441999912,23.49532908704883,GOOD,39754.24580022117,2550000000000.0,9.41,1.032282751,0.899
Germany,2017,8408.665,6.951000214,31.133605998636675,GOOD,46112.30430228525,3810000000000.0,3.746,1.509494851,0.944
India,2017,17845.327,4.315000057,175.35575143061516,UNHEALTHY,6313.710731938871,8550000000000.0,7.723,3.328173375,0.636
Indonesia,2017,4043.070000000001,5.262000084,51.40522813688213,MODERATE,11190.975017025405,2960000000000.0,3.783,3.80879807,0.708
Italy,2017,3987.975,5.964000225,47.754366044876996,GOOD,34830.997334445434,2090000000000.0,11.211,1.226533166,0.889
Mexico,2017,4724.264999999999,6.578000069,57.693752559227846,MODERATE,16362.847394647197,2010000000000.0,3.419,6.04145724,0.776
Netherlands,2017,2157.113,7.376999855,37.78805555555555,GOOD,46492.15526241218,800000000000.0,4.839,1.381458714,0.936
Poland,2017,2491.236,5.97300005,51.58910998450923,MODERATE,26211.424568606664,1010000000000.0,4.888,2.075935537,0.874
Russia,2017,16768.222999999998,5.962999821,0.0,GOOD,24269.08394259505,3530000000000.0,5.212,3.683329444,0.827
Saudi Arabia,2017,6363.453,6.343999863,0.0,GOOD,47670.4085500241,1630000000000.0,5.89,-0.83819458,0.849
South Korea,2017,6961.119,5.837999821,79.16506337135615,MODERATE,37273.12894716612,1920000000000.0,3.653,1.944332308,0.915
Spain,2017,3460.537,6.402999878,30.752018633540374,GOOD,33917.10247996701,1580000000000.0,17.224,1.956076334,0.896
Thailand,2017,2943.719,6.423999786,0.0,GOOD,15233.107161185231,1080000000000.0,0.83,0.665631893,0.795
Turkey,2017,3808.651,5.5,29.0993288590604,GOOD,23389.01347869865,1920000000000.0,10.919,11.14431108,0.833
United Arab Emirates,2017,2428.907,6.647999763,36.428888888888885,GOOD,79176.93917612094,718000000000.0,2.462,1.966825578,0.898
United Kingdom,2017,4789.06,6.714000225,30.30610561056106,GOOD,38447.095766932376,2540000000000.0,4.33,2.557755776,0.929
United States,2017,53992.588,6.993000031,38.2124828532236,GOOD,53367.09497479909,17600000000000.0,4.355,2.130110004,0.928
Vietnam,2017,2157.5910000000003,5.073999882,114.43683417085427,UNHEALTHY FOR SENSITIVE,6742.310426861841,634000000000.0,1.874,3.520256888,0.706
Australia,2018,3384.538,7.272,26.866666666666667,GOOD,49240.91329003443,1230000000000.0,5.3,1.911400944,0.941
Bangladesh,2018,863.5500000000001,4.5,162.52060801144492,UNHEALTHY,4148.23806306925,679000000000.0,4.532,5.543621395,0.636
Brazil,2018,8531.001,6.419,19.516096866096866,GOOD,14321.971781319078,3010000000000.0,12.33,3.664850284,0.762
Canada,2018,9357.992,7.328,38.90925925925926,GOOD,45362.176477227375,1680000000000.0,5.837,2.268225672,0.93
China,2018,81759.82699999999,5.246,112.45727351177138,UNHEALTHY FOR SENSITIVE,15736.702359483526,22300000000000.0,4.31,2.0747904,0.766
France,2018,5910.240999999998,6.489,22.96543209876543,GOOD,40449.41666651628,2600000000000.0,9.018,1.850815083,0.903
Germany,2018,8225.648000000001,6.965,32.774521651560924,GOOD,46443.346789116906,3850000000000.0,3.384,1.732168798,0.946
