Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Australia,1115247.19,975753.05,1925400.19,26693.67,822184.4,25528.5,560690.93,5453514.93
Bangladesh,719814.94,223834.78,3264781.35,132532.13,946304.5,47219.84,1040488.13,6376992.67
Brazil,3330534.01,1561817.74,14217064.59,462065.74,4121675.0,162096.66,3109442.93,26966713.669999998
Canada,1730137.5,1003893.91,5636221.66,69031.9,1843988.42,20851.11,469458.87,10775600.37
China,23440484.99,12872008.3,153351708.5,1938874.73,30012936.02,1222373.85,12175977.02,235016380.41
Egypt,748527.8,674616.99,1999921.11,92231.75,831166.77,66137.78,489562.68,4904181.88
France,901231.56,145070.43,2522656.22,67541.13,712543.7,24291.87,709509.79,5084861.7
Germany,1086244.67,314985.47,2775234.35,86223.7,1057708.54,31864.17,695828.08,6050105.98
India,9441333.53,9773345.8,54624985.46,2622782.17,11130696.1,908545.99,10020735.39,98524441.43999998
Indonesia,4527487.97,2156445.98,24251039.39,756260.0,7984060.12,264674.54,1962243.2,41904228.2
Iran,2095213.02,2373117.74,9449742.34,34694.22,3193673.51,83176.85,559754.12,17791388.8
Italy,656024.49,115132.68,2252093.72,56790.14,896624.21,17008.76,432126.39,4427817.39
Japan,1802059.74,657610.56,3867695.19,62259.78,1046816.13,45216.83,436803.1,7920478.33
Malaysia,882979.08,350131.56,4065606.38,42281.73,1618555.35,34253.89,277406.18,7273231.169999999
Mexico,2008065.47,2591723.86,8337372.33,152622.48,2337305.41,68265.71,871333.69,16368705.950000001
Netherlands,217996.55,27130.54,561195.07,9743.78,222459.67,3846.13,159395.93,1203784.67
Nigeria,657161.2,99561.34,24806751.97,667372.7,5439235.66,200399.4,1320250.55,33192749.819999997
Pakistan,1593125.39,1501381.47,12349038.91,506592.91,2957323.31,163847.66,1935802.96,21009129.61
Philippines,635255.24,492557.58,3298248.88,88674.98,1242324.65,42959.4,499829.2,6301866.930000001
Poland,766476.48,582516.33,2542062.53,84095.15,683693.07,30896.45,336301.26,5028058.27
Russia,3636421.4,4794931.57,7525778.05,286301.85,4052201.04,160711.12,1178873.47,21637235.5
Saudi Arabia,2138597.52,4043208.88,1620198.8,26068.64,1743856.51,72599.85,122730.52,9769277.719999999
South Korea,1055211.4,292031.31,922399.59,62306.03,982181.46,28475.42,308901.93,3653524.1399999997
Spain,715826.99,237472.22,1290567.32,27016.6,531930.77,13137.24,509155.21,3327123.3500000006
Thailand,1187078.76,445650.45,10088393.33,245077.25,3227468.95,101961.42,735654.77,16033301.929999998
Turkey,963459.6,2588687.11,1606282.54,63853.06,625104.56,54897.43,725788.63,6630089.929999999
United Arab Emirates,545936.52,538355.14,927309.23,7018.95,994165.49,18805.05,22178.79,3055786.17
United Kingdom,818031.68,163657.83,1559091.35,33160.79,791297.56,15500.16,357425.87,3740182.2400000007
United States,8352825.57,2364006.07,30812696.63,314016.0,10883947.31,141891.15,3608419.28,56479819.01
Vietnam,947335.92,561289.11,10256054.9,212595.19,2234926.07,77942.18,654878.46,14947038.829999998
