Country,CPI
United Arab Emirates,1.966825578
Australia,1.948647409
Bangladesh,5.702070157
Brazil,3.44637335
Canada,1.596884129
China,1.593136001
Germany,1.509494851
Egypt,29.50660839
Spain,1.956076334
France,1.032282751
United Kingdom,2.557755776
Indonesia,3.80879807
India,3.328173375
Iran,8.044924377
Italy,1.226533166
Japan,0.484199796
South Korea,1.944332308
Mexico,6.04145724
Malaysia,3.871201158
Nigeria,16.50226621
Netherlands,1.381458714
Pakistan,4.08537368
Philippines,2.853187726
Poland,2.075935537
Russia,3.683329444
Saudi Arabia,-0.83819458
Thailand,0.665631893
Turkey,11.14431108
United States,2.130110004
Vietnam,3.520256888
