Country,Human Development Index
United Arab Emirates,0.898
Australia,0.937
Bangladesh,0.622
Brazil,0.758
Canada,0.929
China,0.757
Germany,0.944
Egypt,0.709
Spain,0.896
France,0.899
United Kingdom,0.929
Indonesia,0.708
India,0.636
Iran,0.788
Italy,0.889
Japan,0.916
South Korea,0.915
Mexico,0.776
Malaysia,0.8
Nigeria,0.528
Netherlands,0.936
Pakistan,0.534
Philippines,0.7
Poland,0.874
Russia,0.827
Saudi Arabia,0.849
Thailand,0.795
Turkey,0.833
United States,0.928
Vietnam,0.706
