Country,GDP,GDP per Capita
Australia,1200000000000.0,48799.65853252269
Bangladesh,631000000000.0,3900.021785731839
Brazil,2960000000000.0,14196.30497039495
Canada,1630000000000.0,44591.14353139534
China,20900000000000.0,14819.7944758568
Egypt,1160000000000.0,11396.080361386214
France,2550000000000.0,39754.245800221164
Germany,3810000000000.0,46112.30430228525
India,8550000000000.0,6313.710731938871
Indonesia,2960000000000.0,11190.975017025405
Iran,1490000000000.0,17632.076083473326
Italy,2090000000000.0,34830.997334445434
Japan,4820000000000.0,38053.894167099104
Malaysia,757000000000.0,23674.144694120667
Mexico,2010000000000.0,16362.847394647197
Netherlands,800000000000.0,46492.15526241218
Nigeria,1040000000000.0,5374.790775932911
Pakistan,1120000000000.0,5176.087540358694
Philippines,874000000000.0,8188.236041849419
Poland,1010000000000.0,26211.424568606664
Russia,3530000000000.0,24269.08394259505
Saudi Arabia,1630000000000.0,47670.4085500241
South Korea,1920000000000.0,37273.128947166115
Spain,1580000000000.0,33917.10247996701
Thailand,1080000000000.0,15233.107161185231
Turkey,1920000000000.0,23389.01347869865
United Arab Emirates,718000000000.0,79176.93917612094
United Kingdom,2540000000000.0,38447.095766932376
United States,17600000000000.0,53367.09497479909
Vietnam,634000000000.0,6742.310426861841
