Country,GDP,GDP per Capita
Australia,1140000000000.0,47858.45986438424
Bangladesh,552000000000.0,3497.4339479186465
Brazil,3020000000000.0,14718.194721989092
Canada,1570000000000.0,43938.059090812414
China,18300000000000.0,13130.370278393468
Egypt,1080000000000.0,11051.556411155228
France,2460000000000.0,38552.09127229549
Germany,3630000000000.0,44228.79313440465
India,7390000000000.0,5586.353320473986
Indonesia,2680000000000.0,10343.81737375973
Iran,1330000000000.0,16260.988026435427
Italy,2030000000000.0,33702.50694188632
Japan,4710000000000.0,37013.48019946981
Malaysia,685000000000.0,22047.81808033092
Mexico,1920000000000.0,15980.03880086588
Netherlands,761000000000.0,44656.71543696391
Nigeria,1040000000000.0,5652.303670275561
Pakistan,1010000000000.0,4787.426507789077
Philippines,763000000000.0,7405.512263450662
Poland,936000000000.0,24278.173082000983
Russia,3460000000000.0,23916.76677607735
Saudi Arabia,1590000000000.0,48549.85847563582
South Korea,1800000000000.0,35297.996273943514
Spain,1490000000000.0,32090.391352875766
Thailand,1000000000000.0,14225.88266196082
Turkey,1730000000000.0,21721.067939281857
United Arab Emirates,675000000000.0,75698.87726789631
United Kingdom,2430000000000.0,37256.014500592784
United States,16900000000000.0,52062.831667963495
Vietnam,556000000000.0,6030.931301618155
