Country,Happiness Score
Canada,7.427
Netherlands,7.378
Australia,7.284
Mexico,7.187
United States,7.119
Brazil,6.983
United Arab Emirates,6.901
United Kingdom,6.867
Germany,6.75
France,6.575
Thailand,6.455
Saudi Arabia,6.411
Spain,6.329
Japan,5.987
South Korea,5.984
Italy,5.948
Poland,5.791
Malaysia,5.77
Russia,5.716
Indonesia,5.399
Vietnam,5.36
Turkey,5.332
Nigeria,5.268
Pakistan,5.194
China,5.14
Philippines,5.073
Bangladesh,4.694
Iran,4.686
India,4.565
Egypt,4.194
