Country,CPI
United Arab Emirates,4.069966084
Australia,1.508366722
Bangladesh,6.19428023
Brazil,9.029901024
Canada,1.125241361
China,1.437023809
Germany,0.514426137
Egypt,10.37049034
Spain,-0.50036571
France,0.037514381
United Kingdom,0.368046842
Indonesia,6.363121131
India,4.906973441
Iran,12.48468156
Italy,0.0387904
Japan,0.795279631
South Korea,0.706331772
Mexico,2.72064065
Malaysia,2.104389802
Nigeria,9.00943498
Netherlands,0.600248147
Pakistan,2.529328173
Philippines,0.674192537
Poland,-0.874125874
Russia,15.53440505
Saudi Arabia,1.206073222
Thailand,-0.900424963
Turkey,7.670853648
United States,0.118627136
Vietnam,0.631200905
