Country,Unemployed Rate
United Arab Emirates,1.792
Australia,6.055
Bangladesh,4.382
Brazil,8.538
Canada,6.945
China,4.65
Germany,4.624
"Egypt, Arab Rep.",13.052
Spain,22.058
France,10.354
United Kingdom,5.301
Indonesia,4.514
India,7.894
"Iran, Islamic Rep.",11.166
Italy,11.896
Japan,3.385
"Korea, Rep.",3.546
Mexico,4.311
Malaysia,3.1
Nigeria,4.137
Netherlands,6.873
Pakistan,3.566
Philippines,3.068
Poland,7.501
Russian Federation,5.571
Saudi Arabia,5.6
Thailand,0.597
Turkiye,10.304
United States,5.28
Viet Nam,1.849
