Country,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,23820240.0,2.387,540.411,1500.658,389.95,37.935,100.613,0.0,570.297,11.741,100.613,16.684,31.866,5318.155000000001,0.00022326202422813543
Bangladesh,157830000.0,0.0,30.633,381.858,258.541,2.419,3.16,0.0,92.684,0.011,3.16,0.716,0.014,2788.196,1.7665817651903945e-05
Brazil,205188208.0,221.571,204.981,2070.909,429.365,968.777,1446.048,38.075,1436.562,159.228,1407.973,0.159,58.237,10456.884999999997,5.096240715743273e-05
Canada,35732120.0,20.805,214.41,2595.714,1103.324,1029.236,1423.599,261.261,1277.979,31.881,1162.338,7.796,72.62,11215.963,0.0003138902197798507
China,1393715456.0,27.299,22329.041,30885.832,1946.895,3001.359,4250.154,442.87,6609.896,172.514,3807.284,106.32,499.793,76094.257,5.459812953383793e-05
Egypt,97723792.0,0.0,9.319,934.044,460.188,36.849,42.064,0.0,464.537,0.0,42.064,0.113,5.102,4009.2799999999993,4.1026651933441134e-05
France,63809768.0,32.748,102.28,1412.453,407.518,146.92,1409.82,1130.386,902.656,22.711,279.434,19.559,57.495,7938.9800000000005,0.00012441637462151564
Germany,82073232.0,30.778,915.056,2981.134,769.536,51.105,799.726,237.191,1296.542,160.996,562.535,102.538,217.118,10139.255,0.00012353912174434655
India,1322866560.0,3.592,4490.47,7264.577,478.068,358.926,665.102,98.993,2296.038,97.737,566.109,17.683,88.172,18440.467,1.393977862740744e-05
Indonesia,259091968.0,8.366,532.274,1793.24,440.371,37.003,72.86,0.0,820.596,27.467,72.86,0.014,0.01,5820.060999999999,2.2463301525425903e-05
Iran,81790848.0,0.0,12.695,2690.681,1840.195,35.687,45.156,9.033,837.791,0.052,36.123,0.004,0.38,7522.797,9.197602401677018e-05
Italy,60232908.0,15.486,143.395,1496.994,643.154,122.631,317.772,0.0,710.444,77.898,317.772,61.783,39.974,5962.303000000001,9.898746711681263e-05
Japan,127250936.0,3.772,1397.981,4921.101,1187.176,230.963,442.829,11.692,2335.943,89.322,431.138,93.016,14.065,13173.998,0.00010352771000442778
Malaysia,31068834.0,4.521,202.296,1069.424,468.398,37.497,45.151,0.0,398.729,2.397,45.151,0.735,0.0,4289.298999999999,0.00013805793291116105
Mexico,120149896.0,1.954,147.65,2043.285,807.829,83.19,162.136,29.917,1087.805,22.981,132.219,0.545,23.55,6558.061000000001,5.4582327728356924e-05
Netherlands,17041110.0,3.721,128.667,972.45,337.889,0.25,53.582,10.538,505.895,15.756,43.043,2.985,20.332,4110.108,0.00024118780994899982
Nigeria,183995776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,1.09513383611589e-05
Pakistan,210969296.0,0.0,54.263,713.565,365.342,88.274,102.294,11.125,293.961,0.254,91.169,1.028,1.612,3737.8869999999993,1.7717682482099192e-05
Philippines,103031360.0,4.68,135.082,383.707,33.225,23.335,60.115,0.0,215.399,29.712,60.115,0.373,2.015,2962.7579999999994,2.8755885586679623e-05
Poland,38553148.0,7.568,566.047,1030.028,170.988,4.934,72.985,0.0,292.993,31.089,72.985,0.153,29.24,4294.01,0.00011137897221778103
Russia,144668384.0,0.0,1071.356,6970.462,4086.748,452.402,960.093,505.127,1812.358,1.262,454.966,0.904,0.399,18331.076999999997,0.00012671100964257675
Saudi Arabia,32749838.0,0.0,1.036,3056.502,992.275,0.0,0.0,0.0,2063.19,0.0,0.0,0.124,0.0,8128.127,0.00024818831164905307
South Korea,50994396.0,5.18,993.216,2833.904,456.497,5.778,475.614,425.773,1384.19,23.876,49.841,11.391,3.615,8683.875,0.00017029077077410624
Spain,46431344.0,14.788,159.173,1145.939,285.438,75.78,427.206,148.086,701.328,18.4,279.12,37.32,132.831,5440.409000000001,0.00011717104290584396
Thailand,70294408.0,18.515,204.074,1318.1,509.61,10.128,59.346,0.0,604.417,23.416,59.346,6.404,0.883,4829.2390000000005,6.870018736056501e-05
Turkey,79646176.0,1.205,404.026,1362.281,459.59,180.822,226.741,0.0,498.664,12.811,226.741,0.523,31.38,5419.784,6.804826386140622e-05
United Arab Emirates,8916909.0,0.0,19.942,1226.979,714.705,0.0,0.0,0.0,492.332,0.0,0.0,0.805,0.004,4469.767000000001,0.0005012686571097676
United Kingdom,65224368.0,10.819,277.323,1849.654,720.455,16.958,431.705,181.783,851.876,93.401,249.922,20.286,108.459,6827.641,0.00010467929716084025
United States,324607776.0,377.211,4329.078,21655.984,7435.795,663.691,4091.442,2168.462,9891.111,257.115,1922.98,106.174,518.788,55432.831000000006,0.0001707686478835307
Vietnam,92191400.0,0.0,305.123,674.768,102.869,151.138,151.705,0.0,266.775,0.223,151.705,0.018,0.326,3819.65,4.143173875220466e-05
