Country,GDP
Australia,1170000000000.0
Bangladesh,590000000000.0
Brazil,2920000000000.0
Canada,1580000000000.0
China,19500000000000.0
Egypt,1120000000000.0
France,2490000000000.0
Germany,3710000000000.0
India,8060000000000.0
Indonesia,2820000000000.0
Iran,1410000000000.0
Italy,2050000000000.0
Japan,4740000000000.0
Malaysia,716000000000.0
Mexico,1960000000000.0
Netherlands,778000000000.0
Nigeria,1030000000000.0
Pakistan,1060000000000.0
Philippines,817000000000.0
Poland,964000000000.0
Russia,3460000000000.0
Saudi Arabia,1630000000000.0
South Korea,1860000000000.0
Spain,1530000000000.0
Thailand,1040000000000.0
Turkey,1780000000000.0
United Arab Emirates,712000000000.0
United Kingdom,2480000000000.0
United States,17200000000000.0
Vietnam,593000000000.0
