Country,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,24195706.0,1.856,540.062,1491.048,379.527,47.195,115.454,0.0,571.459,11.58,115.454,19.917,34.908,5344.46,0.00022088464787925594
Bangladesh,159784576.0,0.0,23.036,383.656,264.509,2.368,2.982,0.0,96.11,0.012,2.982,0.589,0.014,2792.2580000000003,1.7475141029882635e-05
Brazil,206859584.0,201.629,185.15,1916.32,370.879,1019.713,1515.846,40.754,1360.291,163.871,1475.092,0.228,89.651,10355.423999999999,5.00601606160051e-05
Canada,36113532.0,20.059,213.621,2543.507,1056.379,1031.817,1440.487,258.746,1273.506,36.262,1181.741,10.795,82.809,11165.728999999998,0.0003091840753765098
China,1401889664.0,27.815,21675.779,30593.768,2094.411,3087.34,4683.943,547.629,6823.578,198.27,4136.315,178.098,644.793,76707.739,5.471738680284613e-05
Egypt,99784032.0,0.0,14.17,987.889,493.541,35.33,42.372,0.0,480.178,0.0,42.372,0.625,6.416,4118.893,4.127807743828191e-05
France,63989320.0,32.946,99.514,1432.812,445.299,160.417,1332.641,1035.759,887.998,24.619,296.882,21.858,57.042,7843.787,0.00012257962735031408
Germany,82331432.0,30.851,889.935,3060.661,848.847,55.002,780.79,217.415,1321.879,163.024,563.375,100.539,213.96,10262.278,0.00012464593109470025
India,1338636288.0,7.59,4587.692,7609.863,507.91,343.682,675.108,97.354,2514.262,79.221,577.754,30.936,116.325,19163.697000000004,1.4315835579679134e-05
Indonesia,261850176.0,27.504,544.316,1789.989,454.212,49.999,106.822,0.0,791.461,29.248,106.822,0.056,0.015,5916.443999999999,2.259476808600655e-05
Iran,83306232.0,0.0,10.56,2826.38,1963.19,41.285,58.417,16.632,852.63,0.07,41.786,0.013,0.418,7827.381,9.39591290121008e-05
Italy,60118628.0,15.401,127.732,1507.98,675.458,113.592,313.951,0.0,704.79,78.43,313.951,59.174,47.353,5973.812,9.936707138426379e-05
Japan,126993856.0,4.614,1395.385,4828.55,1164.174,212.626,467.055,45.414,2268.99,74.12,421.642,115.985,14.297,13028.852,0.00010259434913134696
Malaysia,31526414.0,4.521,217.847,1110.921,449.93,53.605,61.382,0.0,443.145,2.426,61.382,0.83,0.0,4421.989,0.00014026298709393336
Mexico,121519224.0,2.07,144.633,2092.615,830.3,80.395,160.783,27.146,1117.681,22.714,133.637,0.675,27.783,6656.432,5.4776781655551055e-05
Netherlands,17124512.0,2.975,119.278,988.767,351.611,0.268,55.247,10.173,517.878,15.67,45.074,4.288,21.873,4149.101999999998,0.0002422902328545186
Nigeria,188666928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,1.068549756637793e-05
Pakistan,213524848.0,0.0,62.121,430.689,39.72,92.566,111.511,13.59,328.849,1.699,97.922,1.199,2.458,3198.324,1.497869699923636e-05
Philippines,104875272.0,5.142,152.19,421.456,38.099,21.713,63.158,0.0,231.167,30.756,63.158,2.937,2.611,3048.3869999999997,2.906678516171095e-05
Poland,38532108.0,5.255,575.669,1079.833,182.576,5.726,70.412,0.0,321.587,25.4,70.412,0.332,33.699,4386.901,0.0001138505321328384
Russia,145109152.0,0.394,1037.977,7083.562,4206.464,494.213,1002.501,505.078,1839.121,1.167,497.423,1.254,0.397,18685.551000000003,0.00012876893526329755
Saudi Arabia,33416272.0,0.0,0.855,3179.721,1053.17,0.0,0.0,0.0,2125.696,0.0,0.0,0.123,0.0,8375.564999999999,0.000250643309343424
South Korea,51309984.0,5.151,947.837,2933.451,476.437,7.62,473.98,416.145,1509.177,25.792,57.835,14.767,4.506,8888.697999999999,0.0001732352518371473
Spain,46473320.0,16.87,122.07,1132.507,291.216,97.406,450.407,150.585,719.221,18.083,299.822,36.519,130.945,5481.650999999999,0.00011795264465719253
Thailand,70607032.0,19.143,208.03,1338.951,505.643,9.485,66.621,0.0,625.278,27.456,66.621,9.512,1.025,4893.765,6.930988120276746e-05
Turkey,81019400.0,1.194,447.26,1426.137,445.046,179.98,243.102,0.0,533.831,17.597,243.102,2.792,41.54,5597.580999999999,6.908939093599804e-05
United Arab Emirates,8994266.0,0.0,21.406,1275.467,719.31,0.0,0.0,0.0,534.751,0.0,0.0,0.846,0.0,4567.78,0.0005078546709648124
United Kingdom,65655204.0,10.963,141.172,1810.635,798.983,14.377,432.91,184.255,870.479,95.975,248.655,27.862,99.477,6751.743,0.00010283637226989654
United States,327210208.0,409.229,3960.741,21417.207,7490.989,706.105,4309.845,2178.659,9965.476,253.683,2131.185,148.362,613.806,55601.287,0.00016992528240439246
Vietnam,93126528.0,0.0,330.179,726.664,102.386,171.172,172.114,0.0,294.098,0.389,172.114,0.014,0.538,3985.668,4.279841722435953e-05
