Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Australia,1130977.52,1050559.49,1919486.92,26926.06,818661.25,25051.44,552700.32,5526379.000000001
Bangladesh,675474.28,195630.32,3132807.22,130719.97,920043.9,45544.04,1028306.83,6130542.5600000005
Brazil,3349010.64,1549042.84,14663068.6,465191.09,4260348.97,163996.12,3085872.16,27538546.419999998
Canada,1677692.55,1095471.75,5520000.55,68533.46,1839077.53,20851.09,479898.73,10703541.66
China,24014385.72,15650004.71,159060731.1,1977924.12,29765075.26,1245039.08,12224959.57,243940135.56
Egypt,742096.66,719171.86,1946117.29,91515.69,840342.23,64226.74,480217.45,4885703.920000001
France,937506.97,145359.04,2571849.1,71413.85,719838.52,25826.64,712325.41,5186135.53
Germany,1122557.45,319017.85,2748893.04,85437.05,1032179.07,32527.23,697483.15,6040110.840000001
India,9167905.53,9438071.92,55478843.0,2644811.78,11201060.2,918731.57,9909322.19,98760762.19
Indonesia,4289297.73,2033509.91,24601849.46,754364.99,8147952.94,258950.11,1938364.46,42026305.6
Iran,2086721.05,2236222.99,9238550.94,34694.71,3160233.36,81207.01,553278.88,17392924.94
Italy,705157.42,120437.66,2189868.77,55578.47,860435.21,17933.57,433363.77,4384790.87
Japan,1839845.92,688982.78,3993031.53,60947.18,1053336.79,46077.93,438012.76,8122250.89
Malaysia,876241.57,319498.69,4260100.65,42301.46,1674941.9,33642.18,273761.0,7482503.449999999
Mexico,2072015.77,2884042.76,8771676.03,153275.7,2397866.87,71241.86,861608.54,17213743.529999997
Netherlands,226225.67,28811.23,561367.47,9645.76,220936.32,4018.37,157981.28,1211002.1
Nigeria,651148.93,98299.8,24368038.93,654225.55,5355431.27,196364.66,1287674.0,32613199.14
Pakistan,1513603.31,1458000.11,11425153.45,494701.84,2780044.12,157420.56,1897670.64,19728610.029999997
Philippines,590371.36,464769.65,3245848.15,86891.19,1216949.59,41582.53,492445.59,6140874.0600000005
Poland,710272.08,590549.59,2455296.91,87443.63,667824.54,30122.3,331487.17,4875012.22
Russia,3606571.6,5128629.71,7682596.23,288652.58,4117028.53,158129.14,1178521.88,22162145.67
Saudi Arabia,2198631.47,3983827.91,1714424.71,31849.69,1755136.71,91403.97,120131.79,9897422.250000002
South Korea,1117718.23,329516.77,927313.54,57700.02,976881.08,28338.28,301874.37,3741358.29
Spain,715664.1,225152.48,1274502.99,27567.97,517322.75,13590.96,502107.14,3277924.39
Thailand,1145314.95,460748.23,10200291.28,258477.45,3282160.5,103431.69,739625.23,16192065.329999998
Turkey,908019.82,2390171.38,1615176.32,65036.0,625441.31,57090.1,718041.54,6380992.47
United Arab Emirates,554233.0,582335.47,878970.5,6755.74,952984.51,18656.99,21250.3,3017202.51
United Kingdom,849039.87,166212.27,1544596.23,32905.58,783413.36,15796.9,354491.88,3748472.09
United States,8891820.48,3015954.72,32513589.57,335409.38,11243907.44,149319.48,3431362.46,59583379.53
Vietnam,959776.72,557030.51,9604751.28,214258.27,2196311.06,77354.0,649176.57,14260674.41
