Country,Unemployed Rate
United Arab Emirates,1.64
Australia,5.711
Bangladesh,4.35
Brazil,11.58
Canada,7.038
China,4.56
Germany,4.122
"Egypt, Arab Rep.",12.45
Spain,19.635
France,10.057
United Kingdom,4.81
Indonesia,4.301
India,7.8
"Iran, Islamic Rep.",12.618
Italy,11.688
Japan,3.132
"Korea, Rep.",3.65
Mexico,3.853
Malaysia,3.44
Nigeria,4.498
Netherlands,6.006
Pakistan,2.286
Philippines,2.695
Poland,6.161
Russian Federation,5.559
Saudi Arabia,5.6
Thailand,0.688
Turkiye,10.899
United States,4.869
Viet Nam,1.848
