Country,Human Development Index
United Arab Emirates,0.866
Australia,0.936
Bangladesh,0.613
Brazil,0.753
Canada,0.928
China,0.749
Germany,0.941
Egypt,0.702
Spain,0.894
France,0.896
United Kingdom,0.926
Indonesia,0.701
India,0.63
Iran,0.785
Italy,0.886
Japan,0.914
South Korea,0.912
Mexico,0.773
Malaysia,0.798
Nigeria,0.526
Netherlands,0.933
Pakistan,0.533
Philippines,0.696
Poland,0.872
Russia,0.826
Saudi Arabia,0.846
Thailand,0.793
Turkey,0.826
United States,0.926
Vietnam,0.702
