Country,Happiness Score
Canada,7.404
Netherlands,7.339
Australia,7.313
United States,7.104
Germany,6.994
Brazil,6.952
Mexico,6.778
United Kingdom,6.725
United Arab Emirates,6.573
France,6.478
Thailand,6.474
Saudi Arabia,6.379
Spain,6.361
Malaysia,6.005
Italy,5.977
Japan,5.921
Russia,5.856
Poland,5.835
South Korea,5.835
Turkey,5.389
Indonesia,5.314
Philippines,5.279
China,5.245
Pakistan,5.132
Vietnam,5.061
Nigeria,4.875
Iran,4.813
Bangladesh,4.643
India,4.404
Egypt,4.362
