Country,CPI
United Arab Emirates,4.827888596
Australia,6.594096713
Bangladesh,7.696954372
Brazil,9.28010609
Canada,6.802801153
China,1.973575557
Germany,6.872574386
"Egypt, Arab Rep.",13.89566098
Spain,8.390576341
France,5.222367484
United Kingdom,7.922048831
Indonesia,4.209463834
India,6.699034141
"Iran, Islamic Rep.",43.48846417
Italy,8.201289912
Japan,2.497702782
"Korea, Rep.",5.089513651
Mexico,7.896276192
Malaysia,3.378698625
Nigeria,18.84718778
Netherlands,10.00120788
Pakistan,19.87385996
Philippines,5.821158112
Poland,14.42945076
Russian Federation,4.221622316
Saudi Arabia,2.474073719
Thailand,6.077412284
Turkiye,72.30883599
United States,8.002799821
Viet Nam,3.1565075
