Country,Happiness Score
Netherlands,"7,415"
Australia,"7,162"
Germany,"7,034"
Canada,"7,025"
United States,"6,977"
United Kingdom,"6,943"
France,"6,687"
United Arab Emirates,"6,576"
Saudi Arabia,"6,523"
Spain,"6,476"
Italy,"6,467"
Brazil,"6,293"
Mexico,"6,128"
Poland,"6,123"
Japan,"6,039"
South Korea,"5,935"
Philippines,"5,904"
Thailand,"5,891"
Malaysia,"5,711"
China,"5,585"
Vietnam,"5,485"
Russia,"5,459"
Indonesia,"5,240"
Bangladesh,"5,155"
Iran,"4,888"
Turkey,"4,744"
Nigeria,"4,552"
Pakistan,"4,516"
Egypt,"4,288"
India,"3,777"
