Country,GDP,GDP per Capita
Australia,1340000000000.0,51189.17417727728
Bangladesh,858000000000.0,5012.081335822254
Brazil,3190000000000.0,14815.605806127236
Canada,1760000000000.0,45768.580327291114
China,27000000000000.0,18935.5770711089
Egypt,1460000000000.0,13154.326850929114
France,2670000000000.0,41314.242254090204
Germany,3910000000000.0,46899.45428706592
India,10500000000000.0,7409.115973071801
Indonesia,3500000000000.0,12704.112252897032
Iran,1570000000000.0,17729.98226279023
Italy,2140000000000.0,36248.16455555549
Japan,4770000000000.0,38482.73282198575
Malaysia,878000000000.0,25870.540749696447
Mexico,2030000000000.0,15921.054158877376
Netherlands,880000000000.0,50102.42529899192
Nigeria,1130000000000.0,5170.64936620468
Pakistan,1320000000000.0,5597.3741598341385
Philippines,1010000000000.0,8740.1234873875
Poland,1230000000000.0,30860.214168882747
Russia,3730000000000.0,25775.09939099452
Saudi Arabia,1820000000000.0,49987.882058481206
South Korea,2140000000000.0,41300.13759507523
Spain,1630000000000.0,34273.48372846385
Thailand,1120000000000.0,15621.289943638385
Turkey,2390000000000.0,28005.215016307237
United Arab Emirates,780000000000.0,82617.1590755267
United Kingdom,2620000000000.0,38809.67698853971
United States,19500000000000.0,57642.875345336986
Vietnam,834000000000.0,8494.00860742501
