Country,GDP,GDP per Capita
Australia,1230000000000.0,49240.91329003443
Bangladesh,679000000000.0,4148.23806306925
Brazil,3010000000000.0,14321.971781319078
Canada,1680000000000.0,45362.176477227375
China,22300000000000.0,15736.702359483526
Egypt,1220000000000.0,11760.082593566302
France,2600000000000.0,40449.41666651628
Germany,3850000000000.0,46443.346789116906
India,9170000000000.0,6698.303971319093
Indonesia,3120000000000.0,11682.468353391432
Iran,1480000000000.0,17286.173537297724
Italy,2110000000000.0,35238.652185350904
Japan,4850000000000.0,38414.0549122341
Malaysia,794000000000.0,24506.72499719901
Mexico,2050000000000.0,16530.409858046194
Netherlands,819000000000.0,47379.26704100337
Nigeria,1060000000000.0,5343.075446806115
Pakistan,1170000000000.0,5324.680639308282
Philippines,929000000000.0,8556.783589603321
Poland,1070000000000.0,27776.722089274695
Russia,3630000000000.0,24922.36853841939
Saudi Arabia,1670000000000.0,47689.57978683729
South Korea,1970000000000.0,38121.48174522853
Spain,1620000000000.0,34621.27023132394
Thailand,1130000000000.0,15886.894757111031
Turkey,1980000000000.0,23910.35673962433
United Arab Emirates,727000000000.0,79538.98460554134
United Kingdom,2580000000000.0,38836.122941075846
United States,18100000000000.0,54495.0871805781
Vietnam,682000000000.0,7185.427262362327
