Country,CPI
United Arab Emirates,3.068633793
Australia,1.911400944
Bangladesh,5.543621395
Brazil,3.664850284
Canada,2.268225672
China,2.0747904
Germany,1.732168798
Egypt,14.40146578
Spain,1.674981369
France,1.850815083
United Kingdom,2.292839903
Indonesia,3.198346416
India,3.938826467
Iran,18.01411834
Italy,1.137487636
Japan,0.989094598
South Korea,1.47583935
Mexico,4.899350154
Malaysia,0.884709161
Nigeria,12.09510652
Netherlands,1.703497947
Pakistan,5.078057259
Philippines,5.309346616
Poland,1.812951565
Russia,2.878297236
Saudi Arabia,2.45814158
Thailand,1.063897542
Turkey,16.3324639
United States,2.442583297
Vietnam,3.539628059
