Country,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption
Australia,1.655,508.882,1490.425,371.908,45.801,134.563,0.0,609.635,11.454,134.563,32.627,43.025,3384.538
Bangladesh,0.0,28.569,427.053,274.29,2.29,3.148,0.0,124.194,0.012,3.148,0.833,0.013,863.5500000000001
Brazil,238.946,190.978,1857.108,358.908,1029.111,1618.86,39.793,1307.221,173.599,1579.067,9.158,128.252,8531.001
Canada,24.433,180.959,2658.55,1176.902,1020.97,1431.618,253.962,1300.689,33.651,1177.656,10.046,88.556,9357.992
China,33.669,22352.146,32720.146,2839.26,3171.928,5689.496,748.955,7528.741,299.108,4940.542,468.029,967.807,81759.82699999999
Egypt,0.0,25.389,1027.787,595.953,34.192,43.559,0.0,406.445,0.0,43.559,1.463,7.904,2186.251
France,32.826,100.205,1408.24,428.384,169.104,1380.716,1048.389,879.651,27.588,332.328,27.325,75.485,5910.240999999998
Germany,32.718,806.69,2944.437,858.507,46.811,843.246,192.963,1279.239,162.595,650.283,117.259,290.9,8225.648000000001
India,10.544,4981.602,8266.076,579.963,369.748,822.03,99.143,2704.512,86.905,722.887,96.123,159.567,18899.099999999995
Indonesia,34.289,655.729,1984.084,452.81,57.244,167.543,0.0,875.545,75.269,167.543,0.239,0.503,4470.798
Iran,0.0,15.849,3049.76,2126.434,26.029,46.159,17.481,907.478,0.078,28.678,0.587,1.984,6220.517000000002
Italy,15.979,102.567,1525.036,692.141,129.177,328.604,0.0,730.328,76.64,328.604,59.936,46.873,4035.8849999999998
Japan,5.137,1386.597,4710.478,1157.082,214.297,606.079,124.672,2166.799,80.503,481.406,161.977,19.492,11114.519000000002
Malaysia,5.067,258.943,1128.875,446.778,69.649,80.701,0.0,423.154,4.313,80.701,1.672,0.0,2499.853
Mexico,2.441,157.545,2081.753,902.736,85.283,183.524,34.414,1021.472,19.989,149.111,8.497,32.9,4679.664999999999
Netherlands,6.467,96.083,958.935,355.889,0.191,67.835,8.923,506.963,14.535,58.911,9.81,27.908,2112.45
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,137.646,856.861,435.876,77.996,114.169,23.48,283.339,3.289,90.689,1.912,7.492,2032.7490000000003
Philippines,5.735,190.139,482.713,40.888,24.875,66.985,0.0,251.686,30.02,66.985,3.305,3.05,1166.3809999999999
Poland,10.587,579.175,1150.725,199.261,5.212,71.358,0.0,372.289,20.903,71.358,0.794,33.863,2515.5249999999996
Russia,1.131,1007.856,7403.697,4544.993,504.375,1028.511,519.396,1850.849,1.329,509.115,1.652,0.627,17373.531000000003
Saudi Arabia,0.0,1.114,3101.243,1121.0,0.0,0.0,0.0,1979.128,0.0,0.0,0.422,0.013,6202.919999999999
South Korea,7.946,1007.749,3076.133,578.04,8.888,426.917,338.947,1490.344,37.714,87.97,26.9,6.522,7094.07
Spain,25.525,134.022,1182.64,314.973,90.838,446.032,141.58,733.645,19.714,304.451,33.717,134.657,3561.7940000000003
Thailand,23.148,222.67,1381.293,500.196,20.1,97.083,0.0,658.427,37.491,97.083,12.004,4.342,3053.837
Turkey,1.624,475.22,1526.927,472.325,158.581,260.945,0.0,579.382,27.324,260.945,20.636,52.78,3836.6890000000003
United Arab Emirates,0.0,22.332,1147.343,595.643,0.0,0.0,0.0,529.368,0.0,0.0,3.17,0.0,2297.856
United Kingdom,14.917,96.415,1756.137,788.487,14.401,490.665,165.186,871.235,112.081,325.479,33.517,150.562,4819.081999999999
United States,404.621,3689.458,22212.854,8219.633,765.977,4556.134,2156.894,10303.762,250.438,2399.24,249.513,728.691,55937.215
Vietnam,0.0,439.514,860.56,96.596,219.81,222.714,0.0,324.449,1.558,222.714,0.058,1.288,2389.261
