Country,Happiness Score
Netherlands,7.441
Canada,7.328
Australia,7.272
United Kingdom,7.19
Germany,6.965
United States,6.886
United Arab Emirates,6.774
France,6.489
Mexico,6.488
Brazil,6.419
Saudi Arabia,6.371
Malaysia,6.322
Spain,6.31
Poland,6.123
Thailand,6.072
Italy,6.0
Japan,5.915
South Korea,5.875
Russia,5.81
Philippines,5.524
Turkey,5.483
Pakistan,5.472
China,5.246
Nigeria,5.155
Vietnam,5.103
Indonesia,5.093
Iran,4.707
Bangladesh,4.5
Egypt,4.419
India,4.19
