Country,Unemployed Rate
United Arab Emirates,2.236
Australia,5.3
Bangladesh,4.532
Brazil,12.33
Canada,5.837
China,4.31
Germany,3.384
Egypt,9.855
Spain,15.255
France,9.018
United Kingdom,3.996
Indonesia,4.387
India,7.652
Iran,12.195
Italy,10.61
Japan,2.467
South Korea,3.824
Mexico,3.275
Malaysia,3.3
Nigeria,5.065
Netherlands,3.831
Pakistan,4.083
Philippines,2.338
Poland,3.846
Russia,4.846
Saudi Arabia,6.029
Thailand,0.766
Turkey,10.956
United States,3.896
Vietnam,1.161
