Country,Year,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Happiness Score
China,2021,28.61,24315.475,36292.246,3802.679,3401.68,7554.755,1023.213,8174.094,529.582,6531.542,855.653,1716.017,94225.54600000002,5.339
China,2022,29.183,24397.779,36372.648,3776.475,3384.379,8143.667,1045.2,8198.392,582.571,7098.467,1113.95,1988.383,96131.094,5.585
Egypt,2015,0.0,9.319,934.044,460.188,36.849,42.064,0.0,464.537,0.0,42.064,0.113,5.102,1994.28,4.194
Egypt,2016,0.0,14.17,987.889,493.541,35.33,42.372,0.0,480.178,0.0,42.372,0.625,6.416,2102.893,4.362
Egypt,2017,0.0,13.952,1029.495,559.328,34.033,41.25,0.0,456.216,0.0,41.25,1.604,5.614,2182.742,4.735000134
Egypt,2018,0.0,25.389,1027.787,595.953,34.192,43.559,0.0,406.445,0.0,43.559,1.463,7.904,2186.251,4.419
Egypt,2019,0.0,22.941,996.942,590.387,37.113,54.164,0.0,383.614,0.0,54.164,3.925,13.126,2156.3760000000007,4.166
Egypt,2020,0.0,8.733,924.493,583.079,39.141,64.576,0.0,332.68,0.0,64.576,11.694,13.742,2042.714,4.151400089
Egypt,2021,0.0,14.114,994.929,621.248,36.45,63.814,0.0,359.567,0.0,63.814,13.011,14.353,2181.3,4.283
Egypt,2022,0.0,12.244,1043.381,605.909,34.641,63.059,0.0,425.229,0.0,63.059,14.044,14.374,2275.94,4.288
France,2015,32.748,102.28,1412.453,407.518,146.92,1409.82,1130.386,902.656,22.711,279.434,19.559,57.495,5923.9800000000005,6.575
France,2016,32.946,99.514,1432.812,445.299,160.417,1332.641,1035.759,887.998,24.619,296.882,21.858,57.042,5827.787,6.478
France,2017,33.204,109.046,1458.23,447.657,130.309,1296.689,1017.315,901.527,26.319,279.374,24.225,65.318,5789.213000000001,6.441999912
France,2018,32.826,100.205,1408.24,428.384,169.104,1380.716,1048.389,879.651,27.588,332.328,27.325,75.485,5910.240999999998,6.489
France,2019,34.182,79.423,1388.441,436.62,147.688,1341.122,1009.287,872.398,28.017,331.834,30.704,91.245,5790.960999999999,6.592
France,2020,30.8,55.982,1190.199,405.828,162.052,1250.967,891.721,728.389,28.128,359.246,33.396,104.869,5241.576999999999,6.663799763
France,2021,34.84,75.042,1287.57,430.414,153.476,1306.055,952.558,782.114,29.48,353.496,38.938,96.762,5540.744999999999,6.69
France,2022,40.186,64.419,1225.805,383.718,115.418,1072.755,737.357,777.668,31.067,335.398,49.911,98.816,4932.518000000001,6.687
Germany,2015,30.778,915.056,2981.134,769.536,51.105,799.726,237.191,1296.542,160.996,562.535,102.538,217.118,8124.254999999999,6.75
Germany,2016,30.851,889.935,3060.661,848.847,55.002,780.79,217.415,1321.879,163.024,563.375,100.539,213.96,8246.277999999998,6.994
Germany,2017,31.384,835.93,3060.821,877.385,53.625,827.313,194.914,1347.506,162.955,632.398,103.154,281.28,8408.665,6.951000214
Germany,2018,32.718,806.69,2944.437,858.507,46.811,843.246,192.963,1279.239,162.595,650.283,117.259,290.9,8225.648000000001,6.965
Germany,2019,32.16,624.218,2809.212,892.83,52.01,885.628,189.89,1292.164,160.513,695.738,119.201,331.853,8085.417,6.985
Germany,2020,39.271,514.867,2554.146,871.075,48.119,889.736,162.255,1168.205,163.162,727.481,129.991,346.938,7615.246000000001,7.075799942
Germany,2021,34.888,621.935,2695.155,917.38,51.437,849.426,173.583,1155.841,160.416,675.842,129.107,299.994,7765.004,7.155
Germany,2022,34.941,641.76,2597.101,775.447,45.949,815.899,86.835,1179.893,165.541,729.064,157.221,325.412,7555.063000000002,7.034
India,2015,3.592,4490.47,7264.577,478.068,358.926,665.102,98.993,2296.038,97.737,566.109,17.683,88.172,16425.467,4.565
India,2016,7.59,4587.692,7609.863,507.91,343.682,675.108,97.354,2514.262,79.221,577.754,30.936,116.325,17147.697000000004,4.404
India,2017,5.467,4737.157,7861.351,535.999,361.465,739.391,95.548,2588.196,79.512,643.843,57.336,140.062,17845.327,4.315000057
India,2018,10.544,4981.602,8266.076,579.963,369.748,822.03,99.143,2704.512,86.905,722.887,96.123,159.567,18899.099999999995,4.19
India,2019,12.996,4989.023,8373.467,592.498,427.202,943.882,114.238,2791.946,100.591,829.644,121.96,166.895,19464.342,4.015
India,2020,12.182,4714.672,7856.125,603.601,429.933,972.249,112.433,2537.853,104.881,859.816,154.12,158.7,18516.565,3.573299885
India,2021,19.677,5352.792,8565.35,623.727,419.553,1019.728,110.276,2588.831,113.308,909.452,178.734,178.181,20079.609000000004,3.819
India,2022,28.016,5562.658,8949.696,582.508,456.08,1153.487,115.57,2804.53,123.114,1037.917,248.09,182.617,21244.283000000003,3.777
Indonesia,2015,8.366,532.274,1793.24,440.371,37.003,72.86,0.0,820.596,27.467,72.86,0.014,0.01,3805.0610000000006,5.399
Indonesia,2016,27.504,544.316,1789.989,454.212,49.999,106.822,0.0,791.461,29.248,106.822,0.056,0.015,3900.444,5.314
Indonesia,2017,23.517,566.109,1860.053,445.182,49.586,107.655,0.0,848.762,34.474,107.655,0.077,0.0,4043.070000000001,5.262000084
Indonesia,2018,34.289,655.729,1984.084,452.81,57.244,167.543,0.0,875.545,75.269,167.543,0.239,0.503,4470.798,5.093
