Country,Human Development Index,Year,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Bangladesh,0.622,2017,161793968.0,0.0,25.117,399.297,265.927,2.74,3.541,0.0,108.254,0.012,3.541,0.776,0.014,2826.219,1.746801215728883e-05
Bangladesh,0.636,2018,163683952.0,0.0,28.569,427.053,274.29,2.29,3.148,0.0,124.194,0.012,3.148,0.833,0.013,2881.55,1.760435256353048e-05
Bangladesh,0.646,2019,165516224.0,0.0,48.065,479.281,309.344,2.17,3.181,0.0,121.873,0.012,3.181,0.986,0.013,2987.106,1.8047209680182168e-05
Bangladesh,0.657,2020,167420944.0,0.0,52.347,454.221,299.153,1.84,3.071,0.0,102.721,0.012,3.071,1.205,0.013,2937.6540000000005,1.7546514371583048e-05
Bangladesh,0.662,2021,169356240.0,0.0,42.311,488.968,306.089,1.784,3.413,0.0,140.567,0.012,3.413,1.603,0.013,3009.173,1.7768303075221793e-05
Bangladesh,0.67,2022,171186368.0,0.0,55.397,513.671,286.872,2.021,4.304,0.0,171.402,0.012,4.304,2.258,0.013,3062.2540000000004,1.788842205005483e-05
Brazil,0.752,2015,205188208.0,221.571,204.981,2070.909,429.365,968.777,1446.048,38.075,1436.562,159.228,1407.973,0.159,58.237,10456.884999999997,5.096240715743273e-05
Brazil,0.753,2016,206859584.0,201.629,185.15,1916.32,370.879,1019.713,1515.846,40.754,1360.291,163.871,1475.092,0.228,89.651,10355.424,5.00601606160051e-05
Brazil,0.758,2017,208504960.0,206.01,195.275,1945.812,376.32,987.09,1517.182,40.194,1374.216,168.906,1476.988,2.214,112.768,10419.975,4.9974710433747e-05
Brazil,0.762,2018,210166592.0,238.946,190.978,1857.108,358.908,1029.111,1618.86,39.793,1307.221,173.599,1579.067,9.158,128.252,10549.001,5.019351981498563e-05
Brazil,0.764,2019,211782880.0,264.483,179.512,1838.441,357.333,1048.793,1694.51,40.797,1301.595,175.319,1653.713,17.541,147.577,10738.613999999998,5.070576998480707e-05
Brazil,0.758,2020,213196304.0,246.243,163.133,1706.122,314.237,1041.012,1688.246,35.415,1228.752,187.516,1652.831,28.228,149.832,10461.567,4.907011427365082e-05
Brazil,0.756,2021,214326224.0,243.486,197.908,1930.015,404.465,949.379,1640.655,36.923,1327.642,177.883,1603.732,43.835,189.149,10766.071999999998,5.023217317541133e-05
Brazil,0.76,2022,215313504.0,241.951,162.662,1873.238,319.876,1113.543,1858.963,36.424,1390.7,175.677,1822.539,78.544,212.824,11308.941,5.2523138539420175e-05
Canada,0.927,2015,35732120.0,20.805,214.41,2595.714,1103.324,1029.236,1423.599,261.261,1277.979,31.881,1162.338,7.796,72.62,11215.963,0.0003138902197798
Canada,0.928,2016,36113532.0,20.059,213.621,2543.507,1056.379,1031.817,1440.487,258.746,1273.506,36.262,1181.741,10.795,82.809,11165.728999999998,0.0003091840753765
Canada,0.929,2017,36554344.0,23.655,221.605,2578.561,1096.391,1050.112,1459.618,256.895,1260.565,35.578,1202.723,9.511,83.867,11296.081,0.0003090215762044
Canada,0.93,2018,37035260.0,24.433,180.959,2658.55,1176.902,1020.97,1431.618,253.962,1300.689,33.651,1177.656,10.046,88.556,11375.992,0.0003071665218497
Canada,0.932,2019,37522584.0,24.755,169.154,2652.247,1186.542,1006.336,1415.603,254.196,1296.55,32.903,1161.407,10.754,86.659,11316.106,0.0003015812024033
Canada,0.928,2020,37888704.0,22.951,146.178,2400.681,1152.905,1015.178,1421.002,245.749,1101.598,31.955,1175.253,11.242,93.928,10838.62,0.000286064680386
Canada,0.934,2021,38155012.0,24.504,131.237,2464.905,1186.283,1000.694,1402.071,230.97,1147.385,32.493,1171.102,15.816,97.594,10926.054,0.0002863596006731
Canada,0.935,2022,38454328.0,29.385,106.977,2541.371,1238.135,1036.923,1430.602,216.737,1196.26,29.123,1213.865,18.381,100.052,11179.810999999998,0.0002907295896576
China,0.741,2015,1393715456.0,27.299,22329.041,30885.832,1946.895,3001.359,4250.154,442.87,6609.896,172.514,3807.284,106.32,499.793,76094.257,5.459812953383793e-05
China,0.749,2016,1401889664.0,27.815,21675.779,30593.768,2094.411,3087.34,4683.943,547.629,6823.578,198.27,4136.315,178.098,644.793,76707.739,5.471738680284613e-05
