Country,Human Development Index,Year,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Poland,0.881,2022,39857144.0,13.039,495.633,1071.105,186.046,5.131,115.763,0.0,389.426,24.36,115.763,21.664,51.568,4511.498,0.0001131917028475
Russia,0.823,2015,144668384.0,0.0,1071.356,6970.462,4086.748,452.402,960.093,505.127,1812.358,1.262,454.966,0.904,0.399,18331.077,0.0001267110096425
Russia,0.826,2016,145109152.0,0.394,1037.977,7083.562,4206.464,494.213,1002.501,505.078,1839.121,1.167,497.423,1.254,0.397,18685.551000000003,0.0001287689352632
Russia,0.827,2017,145452544.0,0.766,976.106,7120.232,4311.006,492.772,1015.511,518.774,1833.12,1.381,496.737,1.448,0.37,18785.223,0.0001291501852315
Russia,0.836,2018,145652288.0,1.131,1007.856,7403.697,4544.993,504.375,1028.511,519.396,1850.849,1.329,509.115,1.652,0.627,19391.531000000003,0.0001331357801945
Russia,0.839,2019,145742288.0,1.565,990.76,7322.611,4443.127,512.37,1047.418,528.623,1888.724,1.435,518.796,2.597,0.83,19277.856000000003,0.0001322735924112
Russia,0.826,2020,145617328.0,1.884,914.234,6964.822,4234.834,557.924,1114.148,544.142,1815.754,2.318,570.006,4.891,2.989,18747.946,0.0001287480429526
Russia,0.818,2021,145102752.0,2.793,951.683,7197.647,4315.445,561.365,1137.71,558.415,1930.519,2.324,579.295,6.05,6.764,19271.01,0.0001328094039181
Russia,0.821,2022,144713312.0,3.837,1067.093,7533.77,4484.05,515.343,1098.415,559.65,1982.627,2.378,538.765,6.254,10.953,19825.13500000001,0.0001369959316527
Saudi Arabia,0.842,2015,32749838.0,0.0,1.036,3056.502,992.275,0.0,0.0,0.0,2063.19,0.0,0.0,0.124,0.0,8128.127,0.000248188311649
Saudi Arabia,0.846,2016,33416272.0,0.0,0.855,3179.721,1053.17,0.0,0.0,0.0,2125.696,0.0,0.0,0.123,0.0,8375.564999999999,0.0002506433093434
Saudi Arabia,0.849,2017,34193120.0,0.0,1.34,3181.633,1092.502,0.0,0.0,0.0,2087.792,0.0,0.0,0.173,0.013,8380.453000000001,0.0002450917903952
Saudi Arabia,0.856,2018,35018132.0,0.0,1.114,3101.243,1121.0,0.0,0.0,0.0,1979.128,0.0,0.0,0.422,0.013,8220.920000000002,0.0002347618085396
Saudi Arabia,0.862,2019,35827364.0,0.0,1.173,2966.819,1111.5,0.0,0.0,0.0,1854.147,0.0,0.0,0.545,0.015,7953.199,0.0002219867194248
Saudi Arabia,0.861,2020,35997108.0,0.0,1.028,2885.852,1130.5,0.0,0.0,0.0,1754.324,0.0,0.0,0.544,0.015,7792.263,0.0002164691396875
Saudi Arabia,0.867,2021,35950396.0,0.0,1.279,2979.729,1144.607,0.0,0.0,0.0,1833.843,0.0,0.0,2.173,0.015,7982.646,0.0002220461215503
Saudi Arabia,0.875,2022,36408824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,5.553598764958736e-05
South Korea,0.908,2015,50994396.0,5.18,993.216,2833.904,456.497,5.778,475.614,425.773,1384.19,23.876,49.841,11.391,3.615,8683.875,0.0001702907707741
South Korea,0.912,2016,51309984.0,5.151,947.837,2933.451,476.437,7.62,473.98,416.145,1509.177,25.792,57.835,14.767,4.506,8888.697999999999,0.0001732352518371
South Korea,0.915,2017,51511640.0,4.979,1002.235,2997.258,497.564,7.475,448.55,379.047,1497.459,30.68,69.503,20.596,5.773,8978.119,0.0001742930141614
South Korea,0.918,2018,51676900.0,7.946,1007.749,3076.133,578.04,8.888,426.917,338.947,1490.344,37.714,87.97,26.9,6.522,9112.07,0.0001763277208965
South Korea,0.922,2019,51803832.0,8.138,955.366,2991.021,560.338,7.351,471.654,369.074,1475.317,42.618,102.581,37.412,7.062,9046.932,0.0001746382777243
South Korea,0.922,2020,51844688.0,8.025,840.159,2821.208,575.373,10.183,525.757,403.691,1405.675,44.799,122.066,50.787,8.273,8835.996,0.0001704320411765
South Korea,0.926,2021,51830136.0,6.944,843.54,2967.049,624.074,7.993,539.459,396.769,1499.434,54.755,142.691,64.678,8.321,9176.707,0.0001770535003033
South Korea,0.929,2022,51815808.0,7.943,796.568,2938.851,623.789,9.232,603.493,440.451,1518.494,56.974,163.042,80.107,8.785,9269.729,0.0001788977024154
Spain,0.889,2015,46431344.0,14.788,159.173,1145.939,285.438,75.78,427.206,148.086,701.328,18.4,279.12,37.32,132.831,5440.409000000001,0.0001171710429058
Spain,0.894,2016,46473320.0,16.87,122.07,1132.507,291.216,97.406,450.407,150.585,719.221,18.083,299.822,36.519,130.945,5481.650999999999,0.0001179526446571
Spain,0.896,2017,46584168.0,19.439,156.41,1197.184,317.121,48.76,404.858,148.404,723.653,19.402,256.454,38.111,130.741,5477.537000000001,0.0001175836606119
Spain,0.899,2018,46792044.0,25.525,134.022,1182.64,314.973,90.838,446.032,141.58,733.645,19.714,304.451,33.717,134.657,5579.793999999999,0.00011924663945
Spain,0.904,2019,47131372.0,25.091,58.984,1154.336,359.745,59.273,429.535,147.41,735.607,17.995,282.125,39.825,139.941,5468.866999999999,0.0001160345385235
Spain,0.894,2020,47363808.0,22.691,34.386,951.118,324.902,80.119,471.842,146.925,591.83,19.591,324.917,54.278,148.237,5190.836000000002,0.0001095949886461
Spain,0.904,2021,47486932.0,22.3,35.731,1033.12,343.243,77.522,497.149,142.03,654.146,21.997,355.12,70.907,162.394,5436.659,0.0001144874762597
Spain,0.911,2022,47558632.0,21.763,43.427,1098.455,329.742,45.859,492.576,146.58,725.287,21.552,345.996,93.135,163.686,5550.058,0.0001166992776411
Thailand,0.789,2015,70294408.0,18.515,204.074,1318.1,509.61,10.128,59.346,0.0,604.417,23.416,59.346,6.404,0.883,4829.2390000000005,6.870018736056501e-05
Thailand,0.793,2016,70607032.0,19.143,208.03,1338.951,505.643,9.485,66.621,0.0,625.278,27.456,66.621,9.512,1.025,4893.765,6.930988120276746e-05
Thailand,0.795,2017,70898208.0,21.177,208.857,1354.329,500.838,12.474,78.354,0.0,644.634,29.661,78.354,12.09,2.951,4960.719000000001,6.996959641067374e-05
Thailand,0.796,2018,71127808.0,23.148,222.67,1381.293,500.196,20.1,97.083,0.0,658.427,37.491,97.083,12.004,4.342,5071.836999999999,7.130596517187762e-05
Thailand,0.801,2019,71307768.0,25.85,198.453,1373.846,509.396,16.633,105.899,0.0,665.997,40.178,105.899,13.565,9.674,5084.39,7.130204944852572e-05
Thailand,0.8,2020,71475664.0,25.976,212.183,1276.961,468.529,11.923,98.797,0.0,596.249,39.229,98.797,13.213,8.457,4870.313999999999,6.813947191872187e-05
Thailand,0.797,2021,71601104.0,23.287,217.274,1286.554,470.137,11.88,100.256,0.0,599.142,42.793,100.256,13.055,9.242,4894.876000000001,6.836313585332429e-05
Thailand,0.803,2022,71697024.0,21.138,197.679,1284.408,443.181,17.204,103.485,0.0,643.549,44.25,103.485,13.103,7.79,4901.272,6.836088482556822e-05
Turkey,0.821,2015,79646176.0,1.205,404.026,1362.281,459.59,180.822,226.741,0.0,498.664,12.811,226.741,0.523,31.38,5419.784,6.804826386140622e-05
Turkey,0.826,2016,81019400.0,1.194,447.26,1426.137,445.046,179.98,243.102,0.0,533.831,17.597,243.102,2.792,41.54,5597.580999999999,6.908939093599804e-05
Turkey,0.833,2017,82089824.0,1.269,458.912,1553.371,515.681,154.936,233.97,0.0,578.778,22.428,233.97,7.689,47.647,5825.651000000001,7.096678633395536e-05
Turkey,0.838,2018,82809304.0,1.624,475.22,1526.927,472.325,158.581,260.945,0.0,579.382,27.324,260.945,20.636,52.78,5854.688999999999,7.070085989371434e-05
Turkey,0.842,2019,83481688.0,1.809,487.526,1497.671,433.613,234.134,351.496,0.0,576.531,33.888,351.496,24.382,57.282,6068.828,7.269651758838418e-05
Turkey,0.835,2020,84135432.0,1.162,472.367,1482.043,462.099,205.098,339.733,0.0,547.577,39.509,339.733,28.758,65.206,6003.285000000001,7.135263773293516e-05
Turkey,0.841,2021,84775408.0,1.287,482.322,1637.03,573.104,146.342,314.121,0.0,581.605,47.748,314.121,36.484,82.26,6237.424,7.35758653028246e-05
Turkey,0.855,2022,85341248.0,1.565,488.702,1607.618,512.464,174.163,364.5,0.0,606.453,53.636,364.5,44.028,91.107,6330.736000000001,7.418143217216604e-05
United Arab Emirates,0.86,2015,8916909.0,0.0,19.942,1226.979,714.705,0.0,0.0,0.0,492.332,0.0,0.0,0.805,0.004,4469.767000000001,0.0005012686571097
United Arab Emirates,0.866,2016,8994266.0,0.0,21.406,1275.467,719.31,0.0,0.0,0.0,534.751,0.0,0.0,0.846,0.0,4567.78,0.0005078546709648
United Arab Emirates,0.898,2017,9068297.0,0.0,24.76,1213.462,656.552,0.0,0.0,0.0,532.15,0.0,0.0,1.983,0.0,4445.907,0.0004902692313672
United Arab Emirates,0.917,2018,9140172.0,0.0,22.332,1147.343,595.643,0.0,0.0,0.0,529.368,0.0,0.0,3.17,0.0,4315.856000000001,0.0004721854249569
United Arab Emirates,0.933,2019,9211660.0,0.0,20.668,1209.43,671.891,0.0,0.0,0.0,516.871,0.0,0.0,9.637,0.0,4447.496999999999,0.0004828116756371
United Arab Emirates,0.93,2020,9287286.0,0.0,24.736,1186.957,678.658,0.0,0.0,4.1,483.562,0.003,0.0,13.616,0.0,4411.632,0.0004750184284192
United Arab Emirates,0.931,2021,9365149.0,0.0,30.154,1203.467,655.399,0.0,0.0,26.486,517.914,0.001,0.0,16.36,0.0,4470.781,0.0004773849300208
United Arab Emirates,0.937,2022,9441138.0,0.0,27.893,1285.167,661.476,0.0,0.0,50.298,595.798,0.041,0.0,20.188,0.0,4662.861,0.0004938876012616
United Kingdom,0.923,2015,65224368.0,10.819,277.323,1849.654,720.455,16.958,431.705,181.783,851.876,93.401,249.922,20.286,108.459,6827.641,0.0001046792971608
United Kingdom,0.926,2016,65655204.0,10.963,141.172,1810.635,798.983,14.377,432.91,184.255,870.479,95.975,248.655,27.862,99.477,6751.743,0.0001028363722698
United Kingdom,0.929,2017,66064808.0,10.827,114.227,1778.548,782.288,15.653,470.528,179.622,882.034,101.826,290.906,30.491,132.11,6806.06,0.0001030209608722
United Kingdom,0.928,2018,66432996.0,14.917,96.415,1756.137,788.487,14.401,490.665,165.186,871.235,112.081,325.479,33.517,150.562,6837.081999999999,0.0001029169601202
United Kingdom,0.933,2019,66778660.0,19.071,68.913,1701.406,778.738,15.639,497.662,142.116,853.756,119.836,355.546,32.734,168.267,6772.684000000001,0.0001014198847356
United Kingdom,0.92,2020,67059472.0,18.022,62.786,1451.432,731.454,18.039,519.755,126.71,657.192,126.175,393.045,32.839,197.969,6355.418,9.477286072279244e-05
United Kingdom,0.931,2021,67281040.0,17.785,64.242,1515.129,769.267,14.126,475.829,115.263,681.619,127.855,360.567,31.598,169.203,6363.482999999999,9.45806277667527e-05
United Kingdom,0.94,2022,67508936.0,23.016,58.387,1503.479,708.97,14.705,515.367,119.393,736.121,114.381,395.973,34.63,209.241,6455.663000000001,9.562679228124706e-05
United States,0.924,2015,324607776.0,377.211,4329.078,21655.984,7435.795,663.691,4091.442,2168.462,9891.111,257.115,1922.98,106.174,518.788,55432.831000000006,0.0001707686478835
United States,0.926,2016,327210208.0,409.229,3960.741,21417.207,7490.989,706.105,4309.845,2178.659,9965.476,253.683,2131.185,148.362,613.806,55601.287,0.0001699252824043
United States,0.928,2017,329791232.0,410.054,3852.593,21315.105,7399.922,789.888,4508.74,2163.843,10062.591,253.612,2344.897,207.734,683.609,56009.58799999999,0.0001698334660395
United States,0.93,2018,332140032.0,404.621,3689.458,22212.854,8219.633,765.977,4556.134,2156.894,10303.762,250.438,2399.24,249.513,728.691,57955.215,0.0001744903035355
United States,0.933,2019,334319680.0,415.87,3150.46,21948.141,8509.999,752.485,4630.352,2155.132,10287.683,234.433,2475.22,284.616,787.816,57651.207,0.0001724433542171
United States,0.923,2020,335942016.0,378.321,2556.181,19936.998,8345.496,742.663,4685.649,2095.404,9035.32,225.994,2590.245,346.779,896.488,53855.538,0.0001603120045573
United States,0.921,2021,336997632.0,415.839,2936.894,21170.129,8364.249,651.455,4786.699,2060.685,9868.985,224.519,2726.014,434.585,999.615,56660.668000000005,0.0001681337274203
United States,0.927,2022,338289856.0,437.593,2752.975,21479.43,8795.866,655.104,5024.875,2031.819,9930.587,216.581,2993.056,540.069,1143.709,58023.664,0.0001715205554375
Vietnam,0.697,2015,92191400.0,0.0,305.123,674.768,102.869,151.138,151.705,0.0,266.775,0.223,151.705,0.018,0.326,3819.65,4.143173875220466e-05
Vietnam,0.702,2016,93126528.0,0.0,330.179,726.664,102.386,171.172,172.114,0.0,294.098,0.389,172.114,0.014,0.538,3985.668,4.279841722435953e-05
Vietnam,0.706,2017,94033048.0,0.0,329.915,733.304,95.207,228.711,230.328,0.0,308.182,0.664,230.328,0.021,0.931,4174.590999999999,4.4394934427734376e-05
Vietnam,0.711,2018,94914328.0,0.0,439.514,860.56,96.596,219.81,222.714,0.0,324.449,1.558,222.714,0.058,1.288,4407.261,4.6434095809012094e-05
Vietnam,0.717,2019,95776712.0,0.0,580.664,1012.627,98.43,174.283,190.008,0.0,333.533,1.117,190.008,12.7,1.908,4614.277999999999,4.817745257323095e-05
Vietnam,0.726,2020,96648680.0,0.0,609.741,981.098,88.394,191.37,223.296,0.0,282.963,1.085,223.296,28.261,2.579,4652.0830000000005,4.8133952786525385e-05
Vietnam,0.718,2021,97468024.0,0.0,579.233,924.5,71.989,205.862,284.054,0.0,273.278,1.022,284.054,68.429,8.742,4722.1630000000005,4.8448330090286845e-05
Vietnam,0.726,2022,98186856.0,0.0,528.115,901.975,77.972,250.05,342.092,0.0,295.888,1.207,342.092,67.134,23.701,4852.226,4.941828466327509e-05
