Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Pakistan,9.739993139,2020,6.162,1.2E+12,5281.76602,227196736,0,181.748,837.067,411.598,105.018,140.15,24.067,243.721,2.025,116.083,1.864,7.175,4090.516,1.80E-05
Pakistan,9.496210561,2021,6.338,1.28E+12,5531.496618,231402112,0,200.761,932.805,448.92,98.472,150.986,39.409,283.124,2.247,111.577,1.878,8.981,4300.16,1.86E-05
Pakistan,19.87385996,2022,5.548,1.32E+12,5597.37416,235824864,0,178.546,835.711,382.023,89.944,162.995,55.665,275.142,3.08,107.33,2.204,12.102,4126.742,1.75E-05
Philippines,0.674192537,2015,3.068,7.63E+11,7405.512263,103031360,4.68,135.082,383.707,33.225,23.335,60.115,0,215.399,29.712,60.115,0.373,2.015,2962.758,2.88E-05
Philippines,1.253698801,2016,2.695,8.17E+11,7790.206256,104875272,5.142,152.19,421.456,38.099,21.713,63.158,0,231.167,30.756,63.158,2.937,2.611,3048.387,2.91E-05
Philippines,2.853187726,2017,2.552,8.74E+11,8188.236042,106738496,5.572,179.974,465.146,37.744,25.577,66.717,0,247.428,29.462,66.717,3.197,2.91,3147.444,2.95E-05
Philippines,5.309346616,2018,2.338,9.29E+11,8556.78359,108568832,5.735,190.139,482.713,40.888,24.875,66.985,0,251.686,30.02,66.985,3.305,3.05,3184.381,2.93E-05
Philippines,2.392065344,2019,2.237,9.86E+11,8932.712936,110380800,6.108,203.311,502.417,42.16,21.203,63.705,0,256.946,30.363,63.705,3.285,2.746,3214.949,2.91E-05
Philippines,2.393162393,2020,2.522,8.92E+11,7950.728019,112190984,5.175,204.062,452.132,38.428,19.012,61.621,0,209.641,31.134,61.621,3.605,2.696,3109.127,2.77E-05
Philippines,3.927180221,2021,3.398,9.43E+11,8280.621863,113880336,5.802,219.963,478.537,32.831,24.163,66.973,0,225.743,29.765,66.973,3.861,3.382,3178.993,2.79E-05
Philippines,5.821158112,2022,2.598,1.01E+12,8740.123487,115559008,6.318,221.846,500.459,30.804,26.405,70.535,0,247.81,30.301,70.535,4.767,2.745,3234.525,2.80E-05
Poland,-0.874125874,2015,7.501,9.36E+11,24278.17308,38553148,7.568,566.047,1030.028,170.988,4.934,72.985,0,292.993,31.089,72.985,0.153,29.24,4294.01,0.000111379
Poland,-0.664767331,2016,6.161,9.64E+11,25018.0966,38532108,5.255,575.669,1079.833,182.576,5.726,70.412,0,321.587,25.4,70.412,0.332,33.699,4386.901,0.000113851
Poland,2.075935537,2017,4.888,1.01E+12,26211.42457,38532816,7.019,578.879,1133.63,191.803,6.813,74.659,0,362.947,20.711,74.659,0.439,39.677,4508.236,0.000116997
Poland,1.812951565,2018,3.846,1.07E+12,27776.72209,38521464,10.587,579.175,1150.725,199.261,5.212,71.358,0,372.289,20.903,71.358,0.794,33.863,4533.525,0.000117688
Poland,2.227478809,2019,3.277,1.12E+12,29095.74579,38493600,11.435,516.078,1104.451,208.888,5.162,82.817,0,379.485,24.526,82.817,1.873,39.821,4476.353,0.000116288
Poland,3.374469726,2020,3.162,1.1E+12,28624.68685,38428368,11.849,478.409,1048.529,210.646,5.563,90.705,0,359.475,26.656,90.705,5.142,41.495,4389.174,0.000114217
Poland,5.055027047,2021,3.363,1.17E+12,30542.14341,38307724,12.134,529.151,1127.997,223.738,6.121,96.761,0,375.108,25.733,96.761,10.295,42.478,4567.277,0.000119226
Poland,14.42945076,2022,2.886,1.23E+12,30860.21417,39857144,13.039,495.633,1071.105,186.046,5.131,115.763,0,389.426,24.36,115.763,21.664,51.568,4511.498,0.000113192
Russia,15.53440505,2015,5.571,3.46E+12,23916.76678,144668384,0,1071.356,6970.462,4086.748,452.402,960.093,505.127,1812.358,1.262,454.966,0.904,0.399,18331.077,0.000126711
Russia,7.04244763,2016,5.559,3.46E+12,23844.11977,145109152,0.394,1037.977,7083.562,4206.464,494.213,1002.501,505.078,1839.121,1.167,497.423,1.254,0.397,18685.551,0.000128769
Russia,3.683329444,2017,5.212,3.53E+12,24269.08394,145452544,0.766,976.106,7120.232,4311.006,492.772,1015.511,518.774,1833.12,1.381,496.737,1.448,0.37,18785.223,0.00012915
Russia,2.878297236,2018,4.846,3.63E+12,24922.36854,145652288,1.131,1007.856,7403.697,4544.993,504.375,1028.511,519.396,1850.849,1.329,509.115,1.652,0.627,19391.531,0.000133136
Russia,4.470366608,2019,4.496,3.71E+12,25455.89239,145742288,1.565,990.76,7322.611,4443.127,512.37,1047.418,528.623,1888.724,1.435,518.796,2.597,0.83,19277.856,0.000132274
Russia,3.381659372,2020,5.589,3.61E+12,24791.00564,145617328,1.884,914.234,6964.822,4234.834,557.924,1114.148,544.142,1815.754,2.318,570.006,4.891,2.989,18747.946,0.000128748
Russia,6.69445892,2021,4.715,3.81E+12,26257.25527,145102752,2.793,951.683,7197.647,4315.445,561.365,1137.71,558.415,1930.519,2.324,579.295,6.05,6.764,19271.01,0.000132809
Russia,4.221622316,2022,3.867,3.73E+12,25775.09939,144713312,3.837,1067.093,7533.77,4484.05,515.343,1098.415,559.65,1982.627,2.378,538.765,6.254,10.953,19825.135,0.000136996
Saudi Arabia,1.206073222,2015,5.6,1.59E+12,48549.85848,32749838,0,1.036,3056.502,992.275,0,0,0,2063.19,0,0,0.124,0,8128.127,0.000248188
Saudi Arabia,2.068840361,2016,5.6,1.63E+12,48778.63096,33416272,0,0.855,3179.721,1053.17,0,0,0,2125.696,0,0,0.123,0,8375.565,0.000250643
Saudi Arabia,-0.83819458,2017,5.89,1.63E+12,47670.40855,34193120,0,1.34,3181.633,1092.502,0,0,0,2087.792,0,0,0.173,0.013,8380.453,0.000245092
Saudi Arabia,2.45814158,2018,6.029,1.67E+12,47689.57979,35018132,0,1.114,3101.243,1121,0,0,0,1979.128,0,0,0.422,0.013,8220.92,0.000234762
Saudi Arabia,-2.093333333,2019,5.636,1.69E+12,47170.64867,35827364,0,1.173,2966.819,1111.5,0,0,0,1854.147,0,0,0.545,0.015,7953.199,0.000221987
Saudi Arabia,3.44545826,2020,7.45,1.61E+12,44725.8152,35997108,0,1.028,2885.852,1130.5,0,0,0,1754.324,0,0,0.544,0.015,7792.263,0.000216469
Saudi Arabia,3.063289889,2021,6.621,1.68E+12,46731.05687,35950396,0,1.279,2979.729,1144.607,0,0,0,1833.843,0,0,2.173,0.015,7982.646,0.000222046
Saudi Arabia,2.474073719,2022,5.589,1.82E+12,49987.88206,36408824,0,0,0,0,0,0,0,0,0,0,0,0,2022,5.55E-05
South Korea,0.706331772,2015,3.546,1.8E+12,35297.99627,50994396,5.18,993.216,2833.904,456.497,5.778,475.614,425.773,1384.19,23.876,49.841,11.391,3.615,8683.875,0.000170291
South Korea,0.97168574,2016,3.65,1.86E+12,36250.25492,51309984,5.151,947.837,2933.451,476.437,7.62,473.98,416.145,1509.177,25.792,57.835,14.767,4.506,8888.698,0.000173235
South Korea,1.944332308,2017,3.653,1.92E+12,37273.12895,51511640,4.979,1002.235,2997.258,497.564,7.475,448.55,379.047,1497.459,30.68,69.503,20.596,5.773,8978.119,0.000174293
South Korea,1.47583935,2018,3.824,1.97E+12,38121.48175,51676900,7.946,1007.749,3076.133,578.04,8.888,426.917,338.947,1490.344,37.714,87.97,26.9,6.522,9112.07,0.000176328
South Korea,0.383000304,2019,3.746,2.02E+12,38993.2544,51803832,8.138,955.366,2991.021,560.338,7.351,471.654,369.074,1475.317,42.618,102.581,37.412,7.062,9046.932,0.000174638
South Korea,0.537288023,2020,3.931,2E+12,38576.75834,51844688,8.025,840.159,2821.208,575.373,10.183,525.757,403.691,1405.675,44.799,122.066,50.787,8.273,8835.996,0.000170432
South Korea,2.498333333,2021,3.639,2.08E+12,40131.09285,51830136,6.944,843.54,2967.049,624.074,7.993,539.459,396.769,1499.434,54.755,142.691,64.678,8.321,9176.707,0.000177054
South Korea,5.089513651,2022,2.857,2.14E+12,41300.1376,51815808,7.943,796.568,2938.851,623.789,9.232,603.493,440.451,1518.494,56.974,163.042,80.107,8.785,9269.729,0.000178898
Spain,-0.50036571,2015,22.058,1.49E+12,32090.39135,46431344,14.788,159.173,1145.939,285.438,75.78,427.206,148.086,701.328,18.4,279.12,37.32,132.831,5440.409,0.000117171
Spain,-0.202598,2016,19.635,1.53E+12,32922.11531,46473320,16.87,122.07,1132.507,291.216,97.406,450.407,150.585,719.221,18.083,299.822,36.519,130.945,5481.651,0.000117953
Spain,1.956076334,2017,17.224,1.58E+12,33917.10248,46584168,19.439,156.41,1197.184,317.121,48.76,404.858,148.404,723.653,19.402,256.454,38.111,130.741,5477.537,0.000117584
Spain,1.674981369,2018,15.255,1.62E+12,34621.27023,46792044,25.525,134.022,1182.64,314.973,90.838,446.032,141.58,733.645,19.714,304.451,33.717,134.657,5579.794,0.000119247
Spain,0.699518994,2019,14.104,1.65E+12,35008.52893,47131372,25.091,58.984,1154.336,359.745,59.273,429.535,147.41,735.607,17.995,282.125,39.825,139.941,5468.867,0.000116035
Spain,-0.322753017,2020,15.532,1.46E+12,30825.22419,47363808,22.691,34.386,951.118,324.902,80.119,471.842,146.925,591.83,19.591,324.917,54.278,148.237,5190.836,0.000109595
Spain,3.09313512,2021,14.781,1.54E+12,32429.97463,47486932,22.3,35.731,1033.12,343.243,77.522,497.149,142.03,654.146,21.997,355.12,70.907,162.394,5436.659,0.000114487
Spain,8.390576341,2022,12.917,1.63E+12,34273.48373,47558632,21.763,43.427,1098.455,329.742,45.859,492.576,146.58,725.287,21.552,345.996,93.135,163.686,5550.058,0.000116699
Thailand,-0.900424963,2015,0.597,1E+12,14225.88266,70294408,18.515,204.074,1318.1,509.61,10.128,59.346,0,604.417,23.416,59.346,6.404,0.883,4829.239,6.87E-05
Thailand,0.188149704,2016,0.688,1.04E+12,14729.41109,70607032,19.143,208.03,1338.951,505.643,9.485,66.621,0,625.278,27.456,66.621,9.512,1.025,4893.765,6.93E-05
Thailand,0.665631893,2017,0.83,1.08E+12,15233.10716,70898208,21.177,208.857,1354.329,500.838,12.474,78.354,0,644.634,29.661,78.354,12.09,2.951,4960.719,7.00E-05
Thailand,1.063897542,2018,0.766,1.13E+12,15886.89476,71127808,23.148,222.67,1381.293,500.196,20.1,97.083,0,658.427,37.491,97.083,12.004,4.342,5071.837,7.13E-05
Thailand,0.706728601,2019,0.716,1.15E+12,16127.27522,71307768,25.85,198.453,1373.846,509.396,16.633,105.899,0,665.997,40.178,105.899,13.565,9.674,5084.39,7.13E-05
Thailand,-0.845937147,2020,1.099,1.08E+12,15110.03801,71475664,25.976,212.183,1276.961,468.529,11.923,98.797,0,596.249,39.229,98.797,13.213,8.457,4870.314,6.81E-05
Thailand,1.230395413,2021,1.215,1.1E+12,15362.89161,71601104,23.287,217.274,1286.554,470.137,11.88,100.256,0,599.142,42.793,100.256,13.055,9.242,4894.876,6.84E-05
Thailand,6.077412284,2022,0.94,1.12E+12,15621.28994,71697024,21.138,197.679,1284.408,443.181,17.204,103.485,0,643.549,44.25,103.485,13.103,7.79,4901.272,6.84E-05
Turkey,7.670853648,2015,10.304,1.73E+12,21721.06794,79646176,1.205,404.026,1362.281,459.59,180.822,226.741,0,498.664,12.811,226.741,0.523,31.38,5419.784,6.80E-05
Turkey,7.775134153,2016,10.899,1.78E+12,21970.04668,81019400,1.194,447.26,1426.137,445.046,179.98,243.102,0,533.831,17.597,243.102,2.792,41.54,5597.581,6.91E-05
Turkey,11.14431108,2017,10.919,1.92E+12,23389.01348,82089824,1.269,458.912,1553.371,515.681,154.936,233.97,0,578.778,22.428,233.97,7.689,47.647,5825.651,7.10E-05
Turkey,16.3324639,2018,10.956,1.98E+12,23910.35674,82809304,1.624,475.22,1526.927,472.325,158.581,260.945,0,579.382,27.324,260.945,20.636,52.78,5854.689,7.07E-05
Turkey,15.17682157,2019,13.73,1.99E+12,23837.56304,83481688,1.809,487.526,1497.671,433.613,234.134,351.496,0,576.531,33.888,351.496,24.382,57.282,6068.828,7.27E-05
Turkey,12.27895745,2020,13.148,2.03E+12,24127.76581,84135432,1.162,472.367,1482.043,462.099,205.098,339.733,0,547.577,39.509,339.733,28.758,65.206,6003.285,7.14E-05
Turkey,19.59649269,2021,11.969,2.26E+12,26658.67441,84775408,1.287,482.322,1637.03,573.104,146.342,314.121,0,581.605,47.748,314.121,36.484,82.26,6237.424,7.36E-05
Turkey,72.30883599,2022,10.432,2.39E+12,28005.21502,85341248,1.565,488.702,1607.618,512.464,174.163,364.5,0,606.453,53.636,364.5,44.028,91.107,6330.736,7.42E-05
United Arab Emirates,4.069966084,2015,1.792,6.75E+11,75698.87727,8916909,0,19.942,1226.979,714.705,0,0,0,492.332,0,0,0.805,0.004,4469.767,0.000501269
United Arab Emirates,1.617488089,2016,1.64,7.12E+11,79161.54581,8994266,0,21.406,1275.467,719.31,0,0,0,534.751,0,0,0.846,0,4567.78,0.000507855
United Arab Emirates,1.966825578,2017,2.462,7.18E+11,79176.93918,9068297,0,24.76,1213.462,656.552,0,0,0,532.15,0,0,1.983,0,4445.907,0.000490269
United Arab Emirates,3.068633793,2018,2.236,7.27E+11,79538.98461,9140172,0,22.332,1147.343,595.643,0,0,0,529.368,0,0,3.17,0,4315.856,0.000472185
United Arab Emirates,-1.931081148,2019,2.331,7.35E+11,79790.17897,9211660,0,20.668,1209.43,671.891,0,0,0,516.871,0,0,9.637,0,4447.497,0.000482812
United Arab Emirates,-2.079403179,2020,4.294,6.99E+11,75264.18375,9287286,0,24.736,1186.957,678.658,0,0,4.1,483.562,0.003,0,13.616,0,4411.632,0.000475018
United Arab Emirates,-0.013859944,2021,3.105,7.26E+11,77521.45748,9365149,0,30.154,1203.467,655.399,0,0,26.486,517.914,0.001,0,16.36,0,4470.781,0.000477385
United Arab Emirates,4.827888596,2022,2.873,7.8E+11,82617.15908,9441138,0,27.893,1285.167,661.476,0,0,50.298,595.798,0.041,0,20.188,0,4662.861,0.000493888
United Kingdom,0.368046842,2015,5.301,2.43E+12,37256.0145,65224368,10.819,277.323,1849.654,720.455,16.958,431.705,181.783,851.876,93.401,249.922,20.286,108.459,6827.641,0.000104679
United Kingdom,1.008417368,2016,4.81,2.48E+12,37773.09107,65655204,10.963,141.172,1810.635,798.983,14.377,432.91,184.255,870.479,95.975,248.655,27.862,99.477,6751.743,0.000102836
United Kingdom,2.557755776,2017,4.33,2.54E+12,38447.09577,66064808,10.827,114.227,1778.548,782.288,15.653,470.528,179.622,882.034,101.826,290.906,30.491,132.11,6806.06,0.000103021
United Kingdom,2.292839903,2018,3.996,2.58E+12,38836.12294,66432996,14.917,96.415,1756.137,788.487,14.401,490.665,165.186,871.235,112.081,325.479,33.517,150.562,6837.082,0.000102917
United Kingdom,1.738104601,2019,3.737,2.62E+12,39234.09065,66778660,19.071,68.913,1701.406,778.738,15.639,497.662,142.116,853.756,119.836,355.546,32.734,168.267,6772.684,0.00010142
United Kingdom,0.989486704,2020,4.472,2.33E+12,34745.27804,67059472,18.022,62.786,1451.432,731.454,18.039,519.755,126.71,657.192,126.175,393.045,32.839,197.969,6355.418,9.48E-05
United Kingdom,2.518371096,2021,4.826,2.51E+12,37306.20097,67281040,17.785,64.242,1515.129,769.267,14.126,475.829,115.263,681.619,127.855,360.567,31.598,169.203,6363.483,9.46E-05
United Kingdom,7.922048831,2022,3.73,2.62E+12,38809.67699,67508936,23.016,58.387,1503.479,708.97,14.705,515.367,119.393,736.121,114.381,395.973,34.63,209.241,6455.663,9.56E-05
United States,0.118627136,2015,5.28,1.69E+13,52062.83167,324607776,377.211,4329.078,21655.984,7435.795,663.691,4091.442,2168.462,9891.111,257.115,1922.98,106.174,518.788,55432.831,0.000170769
United States,1.261583206,2016,4.869,1.72E+13,52565.59722,327210208,409.229,3960.741,21417.207,7490.989,706.105,4309.845,2178.659,9965.476,253.683,2131.185,148.362,613.806,55601.287,0.000169925
United States,2.130110004,2017,4.355,1.76E+13,53367.09497,329791232,410.054,3852.593,21315.105,7399.922,789.888,4508.74,2163.843,10062.591,253.612,2344.897,207.734,683.609,56009.588,0.000169833
United States,2.442583297,2018,3.896,1.81E+13,54495.08718,332140032,404.621,3689.458,22212.854,8219.633,765.977,4556.134,2156.894,10303.762,250.438,2399.24,249.513,728.691,57955.215,0.00017449
United States,1.812210075,2019,3.669,1.85E+13,55336.2578,334319680,415.87,3150.46,21948.141,8509.999,752.485,4630.352,2155.132,10287.683,234.433,2475.22,284.616,787.816,57651.207,0.000172443
United States,1.233584396,2020,8.055,1.8E+13,53580.67507,335942016,378.321,2556.181,19936.998,8345.496,742.663,4685.649,2095.404,9035.32,225.994,2590.245,346.779,896.488,53855.538,0.000160312
United States,4.697858864,2021,5.349,1.91E+13,56676.95612,336997632,415.839,2936.894,21170.129,8364.249,651.455,4786.699,2060.685,9868.985,224.519,2726.014,434.585,999.615,56660.668,0.000168134
United States,8.002799821,2022,3.65,1.95E+13,57642.87535,338289856,437.593,2752.975,21479.43,8795.866,655.104,5024.875,2031.819,9930.587,216.581,2993.056,540.069,1143.709,58023.664,0.000171521
Vietnam,0.631200905,2015,1.849,5.56E+11,6030.931302,92191400,0,305.123,674.768,102.869,151.138,151.705,0,266.775,0.223,151.705,0.018,0.326,3819.65,4.14E-05
Vietnam,2.66824817,2016,1.848,5.93E+11,6367.680754,93126528,0,330.179,726.664,102.386,171.172,172.114,0,294.098,0.389,172.114,0.014,0.538,3985.668,4.28E-05
Vietnam,3.520256888,2017,1.874,6.34E+11,6742.310427,94033048,0,329.915,733.304,95.207,228.711,230.328,0,308.182,0.664,230.328,0.021,0.931,4174.591,4.44E-05
Vietnam,3.539628059,2018,1.161,6.82E+11,7185.427262,94914328,0,439.514,860.56,96.596,219.81,222.714,0,324.449,1.558,222.714,0.058,1.288,4407.261,4.64E-05
Vietnam,2.795823675,2019,1.681,7.32E+11,7642.776461,95776712,0,580.664,1012.627,98.43,174.283,190.008,0,333.533,1.117,190.008,12.7,1.908,4614.278,4.82E-05
Vietnam,3.220934367,2020,2.103,7.53E+11,7791.104855,96648680,0,609.741,981.098,88.394,191.37,223.296,0,282.963,1.085,223.296,28.261,2.579,4652.083,4.81E-05
Vietnam,1.834715548,2021,2.385,7.72E+11,7920.546332,97468024,0,579.233,924.5,71.989,205.862,284.054,0,273.278,1.022,284.054,68.429,8.742,4722.163,4.84E-05
Vietnam,3.1565075,2022,1.535,8.34E+11,8494.008607,98186856,0,528.115,901.975,77.972,250.05,342.092,0,295.888,1.207,342.092,67.134,23.701,4852.226,4.94E-05
