Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Canada,6.802801153,2022,5.28,1.76E+12,45768.58033,38454328,29.385,106.977,2541.371,1238.135,1036.923,1430.602,216.737,1196.26,29.123,1213.865,18.381,100.052,11179.811,0.00029073
China,1.437023809,2015,4.65,1.83E+13,13130.37028,1393715456,27.299,22329.041,30885.832,1946.895,3001.359,4250.154,442.87,6609.896,172.514,3807.284,106.32,499.793,76094.257,5.46E-05
China,2.000001822,2016,4.56,1.95E+13,13909.79654,1401889664,27.815,21675.779,30593.768,2094.411,3087.34,4683.943,547.629,6823.578,198.27,4136.315,178.098,644.793,76707.739,5.47E-05
China,1.593136001,2017,4.47,2.09E+13,14819.79448,1410275968,25.936,21915.443,31511.137,2412.522,3100.576,5138.246,633.589,7183.172,254.016,4504.657,313.5,810.629,79820.423,5.66E-05
China,2.0747904,2018,4.31,2.23E+13,15736.70236,1417069440,33.669,22352.146,32720.146,2839.26,3171.928,5689.496,748.955,7528.741,299.108,4940.542,468.029,967.807,83777.827,5.91E-05
China,2.899234164,2019,4.56,2.36E+13,16597.92986,1421864064,36.053,22922.236,33897.516,3083.768,3354.375,6291.029,882.026,7891.51,359.759,5409.004,590.458,1068.36,87805.094,6.18E-05
China,2.419421895,2020,5,2.42E+13,16983.29289,1424929792,27.493,23402.553,34728.391,3366.173,3471.19,6765.32,922.889,7959.667,432.86,5842.432,685.724,1225.164,90849.856,6.38E-05
China,0.981015136,2021,4.55,2.62E+13,18374.44376,1425893504,28.61,24315.475,36292.246,3802.679,3401.68,7554.755,1023.213,8174.094,529.582,6531.542,855.653,1716.017,96246.546,6.75E-05
China,1.973575557,2022,4.98,2.7E+13,18935.57707,1425887360,29.183,24397.779,36372.648,3776.475,3384.379,8143.667,1045.2,8198.392,582.571,7098.467,1113.95,1988.383,98153.094,6.88E-05
Egypt,10.37049034,2015,13.052,1.08E+12,11051.55641,97723792,0,9.319,934.044,460.188,36.849,42.064,0,464.537,0,42.064,0.113,5.102,4009.28,4.10E-05
Egypt,13.81360621,2016,12.45,1.12E+12,11224.24077,99784032,0,14.17,987.889,493.541,35.33,42.372,0,480.178,0,42.372,0.625,6.416,4118.893,4.13E-05
Egypt,29.50660839,2017,11.767,1.16E+12,11396.08036,101789384,0,13.952,1029.495,559.328,34.033,41.25,0,456.216,0,41.25,1.604,5.614,4199.742,4.13E-05
Egypt,14.40146578,2018,9.855,1.22E+12,11760.08259,103740768,0,25.389,1027.787,595.953,34.192,43.559,0,406.445,0,43.559,1.463,7.904,4204.251,4.05E-05
Egypt,9.152799593,2019,7.851,1.29E+12,12213.74948,105618672,0,22.941,996.942,590.387,37.113,54.164,0,383.614,0,54.164,3.925,13.126,4175.376,3.95E-05
Egypt,5.04493289,2020,7.974,1.31E+12,12190.00083,107465128,0,8.733,924.493,583.079,39.141,64.576,0,332.68,0,64.576,11.694,13.742,4062.714,3.78E-05
Egypt,5.214049405,2021,7.441,1.4E+12,12813.21633,109262184,0,14.114,994.929,621.248,36.45,63.814,0,359.567,0,63.814,13.011,14.353,4202.3,3.85E-05
Egypt,13.89566098,2022,7.344,1.46E+12,13154.32685,110990096,0,12.244,1043.381,605.909,34.641,63.059,0,425.229,0,63.059,14.044,14.374,4297.94,3.87E-05
France,0.037514381,2015,10.354,2.46E+12,38552.09127,63809768,32.748,102.28,1412.453,407.518,146.92,1409.82,1130.386,902.656,22.711,279.434,19.559,57.495,7938.98,0.000124416
France,0.183334861,2016,10.057,2.49E+12,38912.74356,63989320,32.946,99.514,1432.812,445.299,160.417,1332.641,1035.759,887.998,24.619,296.882,21.858,57.042,7843.787,0.00012258
France,1.032282751,2017,9.41,2.55E+12,39754.2458,64144092,33.204,109.046,1458.23,447.657,130.309,1296.689,1017.315,901.527,26.319,279.374,24.225,65.318,7806.213,0.000121698
