Country,CPI,Year,Unemployed Rate,GDP,Happiness Score
Malaysia,0.884709161,2018,3.3,794000000000.0,6.322
Malaysia,0.662891866,2019,3.26,829000000000.0,5.339
Malaysia,-1.138702154,2020,4.54,783000000000.0,5.384300232
Malaysia,2.477102415,2021,4.64,807000000000.0,5.384
Malaysia,3.378698625,2022,3.93,878000000000.0,5.711
Mexico,2.72064065,2015,4.311,1920000000000.0,7.187
Mexico,2.821707847,2016,3.853,1960000000000.0,6.778
Mexico,6.04145724,2017,3.419,2010000000000.0,6.578000069
Mexico,4.899350154,2018,3.275,2050000000000.0,6.488
Mexico,3.635961421,2019,3.477,2050000000000.0,6.595
Mexico,3.396834156,2020,4.441,1880000000000.0,6.465000153
Mexico,5.689208477,2021,4.019,1970000000000.0,6.317
Mexico,7.896276192,2022,3.256,2030000000000.0,6.128
Netherlands,0.600248147,2015,6.873,761000000000.0,7.378
Netherlands,0.316666667,2016,6.006,778000000000.0,7.339
Netherlands,1.381458714,2017,4.839,800000000000.0,7.376999855
Netherlands,1.703497947,2018,3.831,819000000000.0,7.441
Netherlands,2.633699102,2019,3.38,835000000000.0,7.488
Netherlands,1.272460378,2020,3.819,803000000000.0,7.448900223
Netherlands,2.675720088,2021,4.21,842000000000.0,7.464
Netherlands,10.00120788,2022,3.524,880000000000.0,7.415
Nigeria,9.00943498,2015,4.137,1040000000000.0,5.268
Nigeria,15.69681264,2016,4.498,1030000000000.0,4.875
Nigeria,16.50226621,2017,4.826,1040000000000.0,5.073999882
Nigeria,12.09510652,2018,5.065,1060000000000.0,5.155
Nigeria,11.39642234,2019,5.206,1080000000000.0,5.265
Nigeria,13.24602343,2020,5.712,1060000000000.0,4.724100113
Nigeria,16.95284572,2021,5.393,1100000000000.0,4.759
Nigeria,18.84718778,2022,3.827,1130000000000.0,4.552
Pakistan,2.529328173,2015,3.566,1010000000000.0,5.194
Pakistan,3.765119164,2016,2.286,1060000000000.0,5.132
Pakistan,4.08537368,2017,3.193,1120000000000.0,5.269000053
Pakistan,5.078057259,2018,4.083,1170000000000.0,5.472
Pakistan,10.5783618,2019,4.83,1170000000000.0,5.653
Pakistan,9.739993139,2020,6.162,1200000000000.0,5.69329977
Pakistan,9.496210561,2021,6.338,1280000000000.0,4.934
Pakistan,19.87385996,2022,5.548,1320000000000.0,4.516
Philippines,0.674192537,2015,3.068,763000000000.0,5.073
Philippines,1.253698801,2016,2.695,817000000000.0,5.279
Philippines,2.853187726,2017,2.552,874000000000.0,5.429999828
Philippines,5.309346616,2018,2.338,929000000000.0,5.524
Philippines,2.392065344,2019,2.237,986000000000.0,5.631
Philippines,2.393162393,2020,2.522,892000000000.0,6.006000042
Philippines,3.927180221,2021,3.398,943000000000.0,5.88
Philippines,5.821158112,2022,2.598,1010000000000.0,5.904
Poland,-0.874125874,2015,7.501,936000000000.0,5.791
Poland,-0.664767331,2016,6.161,964000000000.0,5.835
Poland,2.075935537,2017,4.888,1010000000000.0,5.97300005
Poland,1.812951565,2018,3.846,1070000000000.0,6.123
Poland,2.227478809,2019,3.277,1120000000000.0,6.182
Poland,3.374469726,2020,3.162,1100000000000.0,6.186299801
Poland,5.055027047,2021,3.363,1170000000000.0,6.166
Poland,14.42945076,2022,2.886,1230000000000.0,6.123
Russia,15.53440505,2015,5.571,3460000000000.0,5.716
Russia,7.04244763,2016,5.559,3460000000000.0,5.856
Russia,3.683329444,2017,5.212,3530000000000.0,5.962999821
Russia,2.878297236,2018,4.846,3630000000000.0,5.81
