Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,total_consumption,Energy Consumption Per Capita,Happiness Score
Germany,3.066666667,2021,3.638,3.84E+12,46038.44018,83408560,9786.004,0.000117326,7.155
Germany,6.872574386,2022,3.135,3.91E+12,46899.45429,83369840,9577.063,0.000114874,7.034
India,4.906973441,2015,7.894,7.39E+12,5586.35332,1322866560,18440.467,1.39E-05,4.565
India,4.948216341,2016,7.8,8.06E+12,6021.052972,1338636288,19163.697,1.43E-05,4.404
India,3.328173375,2017,7.723,8.55E+12,6313.710732,1354195712,19862.327,1.47E-05,4.315000057
India,3.938826467,2018,7.652,9.17E+12,6698.303971,1369003264,20917.1,1.53E-05,4.19
India,3.729505735,2019,6.51,9.6E+12,6940.869254,1383112064,21483.342,1.55E-05,4.015
India,6.623436776,2020,7.859,8.95E+12,6409.397637,1396387072,20536.565,1.47E-05,3.573299885
India,5.131407472,2021,6.38,9.8E+12,6962.383713,1407563904,22100.609,1.57E-05,3.819
India,6.699034141,2022,4.822,1.05E+13,7409.115973,1417173120,23266.283,1.64E-05,3.777
Indonesia,6.363121131,2015,4.514,2.68E+12,10343.81737,259091968,5820.061,2.25E-05,5.399
Indonesia,3.525805157,2016,4.301,2.82E+12,10769.5173,261850176,5916.444,2.26E-05,5.314
Indonesia,3.80879807,2017,3.783,2.96E+12,11190.97502,264498848,6060.07,2.29E-05,5.262000084
Indonesia,3.198346416,2018,4.387,3.12E+12,11682.46835,267066848,6488.798,2.43E-05,5.093
Indonesia,3.03058665,2019,3.59,3.27E+12,12129.85038,269582880,6808.659,2.53E-05,5.192
Indonesia,1.920968006,2020,4.255,3.2E+12,11770.85165,271857984,6568.592,2.42E-05,5.285600185
Indonesia,1.560129905,2021,3.827,3.32E+12,12127.71282,273753184,6688.086,2.44E-05,5.345
Indonesia,4.209463834,2022,3.462,3.5E+12,12704.11225,275501344,7881.182,2.86E-05,5.24
Iran,12.48468156,2015,11.166,1.33E+12,16260.98803,81790848,7522.797,9.20E-05,4.686
Iran,7.24542549,2016,12.618,1.41E+12,16925.50444,83306232,7827.381,9.40E-05,4.813
Iran,8.044924377,2017,12.232,1.49E+12,17632.07608,84505080,8054.673,9.53E-05,4.691999912
Iran,18.01411834,2018,12.195,1.48E+12,17286.17354,85617560,8238.517,9.62E-05,4.707
Iran,39.90734557,2019,10.74,1.44E+12,16635.05083,86564208,8639.493,9.98E-05,4.548
Iran,30.59413904,2020,9.687,1.45E+12,16611.25914,87290192,8861.412,0.000101517,4.672399998
Iran,43.38901627,2021,9.282,1.53E+12,17401.50453,87923432,8705.854,9.90E-05,4.721
Iran,43.48846417,2022,9.085,1.57E+12,17729.98226,88550568,8997.397,0.000101607,4.888
